feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,n,events,error,fdr_bh,valid_training_splits,split_log_hr_median,split_log_hr_q25,split_log_hr_q75,direction_consistency,gene,state,state_rank,prominence_score,bootstrap_selection_frequency,stable_marker,hpa_evidence
PTGDS,gene,-0.30513511214023137,0.7370237868027968,0.5710725946892865,0.9511996677212028,0.01906004159353509,182,77,,0.9172562174922776,50,-0.30338528108254925,-0.35434604120207347,-0.2591824787195903,1.0,PTGDS,Fibroblasts,7,1.021794442584533,1.0,True,Evidence at protein level
XCL1,gene,0.27333412934284407,1.3143393308017746,0.9998755424917387,1.7277029020906665,0.05010436675682595,182,77,,0.9172562174922776,50,0.26176057330751806,0.19607625990922117,0.33185427584731486,1.0,XCL1,CD8Tex,3,1.0089209491128222,1.0,True,Evidence at protein level
VPREB3,gene,-0.2783050990445427,0.757065806220721,0.5688149699500217,1.0076187604538418,0.05640010357595874,182,77,,0.9172562174922776,50,-0.28434833179316144,-0.3439939169522901,-0.22113547253748242,1.0,VPREB3,B,1,1.0382532641446267,1.0,True,Evidence at protein level
MMP12,gene,0.2552619510038301,1.2907997028684077,0.9903333174562782,1.6824273641573495,0.059010658538143475,182,77,,0.9172562174922776,50,0.27286136342667283,0.22093394499040603,0.35698682031919565,1.0,MMP12,Mono/Macro,1,1.0367613826581854,1.0,True,Evidence at protein level
C5AR1,gene,0.19062956186817095,1.2100111347852531,0.9916371076685921,1.4764745439453757,0.060482132514781926,182,77,,0.9172562174922776,50,0.20065148193665647,0.15374832934469015,0.25161964386626723,1.0,C5AR1,Mono/Macro,3,1.0236953883495146,1.0,True,Evidence at protein level
CPVL,gene,0.1718101394565169,1.1874523614597812,0.9586432756310586,1.4708736258627624,0.11566828941866833,182,77,,0.9172562174922776,50,0.1708426450891925,0.1243287687334689,0.209601762053159,1.0,CPVL,DC,3,1.005335621024439,1.0,True,Evidence at protein level
IDO1,gene,0.18396635417890025,1.2019753809673166,0.9536075289165827,1.5150308409298494,0.11929671738359574,182,77,,0.9172562174922776,50,0.19660767706885623,0.1359869974523117,0.2274302479258998,1.0,IDO1,DC,8,0.9511529879477736,0.984,True,Evidence at protein level
MAOB,gene,-0.19316419718216224,0.8243466076359143,0.6354825081310461,1.0693407305881455,0.14567523174969904,182,77,,0.9172562174922776,50,-0.2141956784880436,-0.24964735069510421,-0.1563876687042281,1.0,MAOB,Mast,9,1.0049506193505187,1.0,True,Evidence at protein level
TREM2,gene,0.1717833306005409,1.1874205276471606,0.9388177314183042,1.5018543667126685,0.1517937257005963,182,77,,0.9172562174922776,50,0.17914793097131118,0.11960597580490859,0.2304897066837577,1.0,TREM2,Mono/Macro,6,1.0113512721794442,1.0,True,Evidence at protein level
ICOS,gene,0.1668030751727299,1.1815215714661393,0.9343869123854893,1.4940205233352908,0.16357360383195302,182,77,,0.9172562174922776,50,0.15229255750761506,0.12140330639565043,0.22530557838005766,1.0,ICOS,Treg,3,0.9760560512219618,0.964,True,Evidence at protein level
LGALS7B,gene,-0.20534910118212768,0.8143629717056624,0.6097888308504594,1.0875683779913528,0.1641524413539636,182,77,,0.9172562174922776,50,-0.19975373477142105,-0.25305964168560535,-0.13465876370307228,0.98,LGALS7B,Malignant,10,1.0186663039839303,1.0,True,Evidence at protein level
MS4A7,gene,0.15334718426994753,1.1657296316852725,0.9376043034122378,1.4493593611329667,0.1675495900604651,182,77,,0.9172562174922776,50,0.1595179628572327,0.10012729022996014,0.20452025009146832,1.0,MS4A7,DC,6,0.9622970539002342,0.996,True,Evidence at protein level
CFP,gene,0.1769502978298678,1.1935717685457656,0.9229381890757661,1.5435633540054077,0.17742456597417844,182,77,,0.9172562174922776,50,0.16830592980273335,0.1055559261557356,0.22188382316326707,1.0,CFP,DC,5,0.9736932959491127,1.0,True,Evidence at protein level
CD5,gene,0.16189248579689716,1.175733826440013,0.9288889613653762,1.4881757541863292,0.1781561001423792,182,77,,0.9172562174922776,50,0.1519576198044829,0.12807322229286655,0.19914388059658372,1.0,CD5,CD4Tconv,6,0.9613251171744224,1.0,True,Evidence at protein level
CALD1,gene,0.1464267793489925,1.1576901608877943,0.934650564017207,1.433954635255249,0.1799133130661835,182,77,,0.9172562174922776,50,0.1401489010497003,0.10430582874249016,0.17913805328955038,0.98,CALD1,Pericytes,7,1.0394082691663875,1.0,True,Evidence at protein level
TNFRSF13C,gene,-0.18431818453540874,0.8316711368281472,0.631333602051718,1.0955806527408019,0.18992901433384973,182,77,,0.9172562174922776,50,-0.20213266293382148,-0.26494572938938454,-0.12337278722779059,0.98,TNFRSF13C,B,6,0.959664797455641,1.0,True,Evidence at protein level
BLNK,gene,-0.1534464294590943,0.8577467129234393,0.6794337976091774,1.0828566758378566,0.19687759146998443,182,77,,0.9172562174922776,50,-0.15582194401359456,-0.19008050806449958,-0.10806527041876893,0.98,BLNK,B,8,0.9295624790759959,1.0,True,Evidence at protein level
GZMA,gene,0.1477814872250743,1.1592595556625254,0.9221842841253287,1.4572821729113707,0.20551916142268115,182,77,,0.9172562174922776,50,0.16099722315738635,0.09655086900845637,0.1936974040366461,0.98,GZMA,CD8Tex,4,1.00617781218614,1.0,True,Evidence at protein level
CD96,gene,0.14959303049943726,1.1613615078276511,0.9209014607191924,1.464608983039705,0.2062997642941324,182,77,,0.9172562174922776,50,0.15323947407290567,0.10365603717230638,0.19704976356198653,1.0,CD96,CD8Tex,8,0.9650788834951456,1.0,True,Evidence at protein level
LY6D,gene,-0.2007048694198846,0.8181538581487006,0.598649664562123,1.1181426721306411,0.20791976633997283,182,77,,0.9172562174922776,50,-0.20783530676919226,-0.2816240978313224,-0.12302689165000855,0.86,LY6D,Malignant,4,1.041044526280549,1.0,True,Evidence at protein level
TREM1,gene,0.1466960497224213,1.1580019345235493,0.9169760354429467,1.4623811621342162,0.2179376460430691,182,77,,0.9172562174922776,50,0.15922987505271924,0.10798212457056146,0.20232345364275345,0.96,TREM1,Mono/Macro,9,0.9988627803816538,1.0,True,Evidence at protein level
GATA2,gene,-0.13687796195045998,0.8720766461712784,0.6993734826049312,1.087427098271831,0.22413356080472224,182,77,,0.9172562174922776,50,-0.13770254246677543,-0.1723808823155777,-0.08608055048809701,1.0,GATA2,Mast,2,1.0502123786407767,1.0,True,Evidence at protein level
CCL19,gene,-0.14086994185601767,0.8686022731512351,0.6903572580601379,1.092868801066143,0.2293140543730694,182,77,,0.9172562174922776,50,-0.12701583029840863,-0.1787479182424967,-0.10043898597266562,1.0,CCL19,DC,1,1.0254278958821559,1.0,True,Evidence at protein level
PLA2G7,gene,0.12609675846342286,1.1343919249925756,0.9123475434033429,1.410476795594829,0.2565544892514493,182,77,,0.925882196077601,50,0.14191321742225382,0.0843719136773961,0.18066078294229673,1.0,PLA2G7,Mono/Macro,8,0.9999215349849346,1.0,True,Evidence at protein level
CD247,gene,0.14162697592125095,1.1521467898732973,0.8997005518538981,1.4754267102315912,0.26170700379766954,182,77,,0.925882196077601,50,0.14450327393365645,0.09287063250208218,0.193364838168194,0.96,CD247,CD8Tex,7,0.977591437897556,1.0,True,Evidence at protein level
PILRA,gene,0.11359094608003291,1.12029377058636,0.9177640690274654,1.3675171809074653,0.26421352046671276,182,77,,0.925882196077601,50,0.12360203706514976,0.07139777008303386,0.16312849130732002,0.98,PILRA,Mono/Macro,10,0.996600895547372,1.0,True,Evidence at protein level
PLVAP,gene,0.1707213205175861,1.1861601444623788,0.8748369952352402,1.608272050649483,0.27172629667494813,182,77,,0.925882196077601,50,0.17126590407631992,0.12614613701346314,0.20430497339271286,0.96,PLVAP,Endothelial,3,1.0454239203213926,1.0,True,Evidence at protein level
KRT15,gene,-0.15982218993294958,0.8522953221821304,0.6331096536183811,1.1473641446816374,0.29203286109487003,182,77,,0.9540723929676737,50,-0.17118152742081982,-0.22031485204448525,-0.08370747812573437,0.86,KRT15,Malignant,1,1.0488408101774356,1.0,True,Evidence at protein level
ITK,gene,0.12529372322553187,1.1334813339705008,0.8892113821746574,1.444853226369511,0.31164720707750476,182,77,,0.9540723929676737,50,0.11015296365478397,0.0748511610019343,0.1839756666424043,1.0,ITK,CD4Tconv,4,0.9673167057248073,1.0,True,Evidence at protein level
HCK,gene,0.1152619753692302,1.1221673792810385,0.8949434150690924,1.4070829573345207,0.3180542212232732,182,77,,0.9540723929676737,50,0.12490585368666071,0.0765174435275183,0.17011518226485686,0.96,HCK,DC,7,0.9545705034315365,0.99,True,Evidence at protein level
SLPI,gene,-0.11406614585310591,0.8921989386706194,0.7114994932964694,1.1187906016305376,0.32322431894419024,182,77,,0.9540723929676737,50,-0.11377240481002393,-0.1548326644649097,-0.049055639763265144,0.94,SLPI,Malignant,6,1.0305772932708404,1.0,True,Evidence at protein level
CD6,gene,0.1173206261734481,1.1244799095883342,0.8806269308298994,1.435857822195116,0.34686329013751216,182,77,,0.9540723929676737,50,0.10422114861984036,0.0736399797342846,0.18150007512391014,0.96,CD6,CD4Tconv,7,0.9578360395045196,1.0,True,Evidence at protein level
