feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,n,events,error,fdr_bh,valid_training_splits,split_log_hr_median,split_log_hr_q25,split_log_hr_q75,direction_consistency
pathway__REACTOME_DENGUE_VIRUS_INFECTION,pathway,0.24845659547390883,1.2820451745984054,1.0130976184243847,1.6223903795838734,0.03861296546012495,182,77,,0.4535585930018883,50,0.24172204649514348,0.20433629203858233,0.30289004736083236,1.0
pathway__REACTOME_M_PHASE,pathway,0.20019311613815854,1.2216386535208292,0.9867154565736759,1.512493789200869,0.06617583083490033,182,77,,0.4535585930018883,50,0.20503215424389024,0.15717206808088113,0.2502750042810445,1.0
pathway__REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,pathway,0.2213405797675433,1.2477483160376885,0.9848983977290079,1.5807476829739524,0.06667072284653067,182,77,,0.4535585930018883,50,0.2185761693409499,0.18323528024200808,0.2794401155099214,1.0
pathway__REACTOME_RHO_GTPASE_EFFECTORS,pathway,0.20710918467953973,1.230116874365451,0.9788823110932963,1.545831922234425,0.07559309883364805,182,77,,0.4535585930018883,50,0.21102230496371532,0.1658337199615539,0.250980874609061,1.0
pathway__REACTOME_CELL_CELL_COMMUNICATION,pathway,0.22750748048631753,1.2554668312214552,0.9506386438526543,1.6580400707353815,0.10888220089674969,182,77,,0.5226345643043985,50,0.22882866629578524,0.18328794242233193,0.2655917236586508,1.0
pathway__REACTOME_DNA_REPAIR,pathway,0.0972906235160331,1.102180646694159,0.8799524682394217,1.380531587550051,0.3970932904501896,182,77,,0.9973778313048253,50,0.10121745568475773,0.05434314612447333,0.13793600410240547,0.98
pathway__REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,pathway,-0.11392327062035586,0.8923264209084516,0.6592745645980719,1.2077615066747196,0.4607175026158956,182,77,,0.9973778313048253,50,-0.10454278590425278,-0.17553236967141006,-0.05036007501958548,0.94
pathway__REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,pathway,0.10057883309849759,1.1058108127607722,0.8350659710947478,1.4643364667531122,0.48269498500661767,182,77,,0.9973778313048253,50,0.1135885592521296,0.07143133513971289,0.1556429160862164,0.92
pathway__REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,pathway,0.10290757860323553,1.1083889654857417,0.8214420326694225,1.4955724810163877,0.5008127833482103,182,77,,0.9973778313048253,50,0.10811324666028183,0.046113536212638334,0.17454264652439505,0.86
pathway__REACTOME_RHO_GTPASE_CYCLE,pathway,-0.06401297980423351,0.9379928244884805,0.7535974535836222,1.1675073138954657,0.5665128351697102,182,77,,0.9973778313048253,50,-0.0637810943499109,-0.10700628419465169,-0.033689262711740275,0.94
pathway__REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,pathway,0.0647056786402055,1.0668449829058433,0.8544939364252838,1.331967576402912,0.5677356025997605,182,77,,0.9973778313048253,50,0.07325326431833445,0.02835279109671734,0.11548451685575462,0.88
pathway__REACTOME_SIGNALING_BY_INTERLEUKINS,pathway,0.06261139627837295,1.0646130462439023,0.8385539257088958,1.3516136571354884,0.6071624767541295,182,77,,0.9973778313048253,50,0.06076191439625971,0.02134925326003289,0.13131978494837343,0.86
pathway__REACTOME_OLFACTORY_SIGNALING_PATHWAY,pathway,-0.06995837960920326,0.9324326273086933,0.7120891044993317,1.220957600637756,0.611031399346764,182,77,,0.9973778313048253,50,-0.08874401056234328,-0.12569660144247274,-0.045928562721025155,0.8
pathway__REACTOME_NEURONAL_SYSTEM,pathway,-0.06035109543216663,0.9414339423962547,0.7410322874367529,1.1960313780138765,0.6211818499451804,182,77,,0.9973778313048253,50,-0.05830607251707781,-0.1131665554208196,-0.02925680502054095,0.88
