state,gene,donors,baseline_specificity_effect,bootstrap_selection_frequency,bootstrap_effect_mean,bootstrap_effect_sd,bootstrap_effect_ci95_low,bootstrap_effect_ci95_high,hpa_evidence,hpa_weight,prominence_score,stable_marker,state_rank
B,VPREB3,60,0.9028289253431537,1.0,0.8108638936281204,0.005343862738763189,0.7990127205848694,0.820521891117096,Evidence at protein level,1.15,1.0382532641446267,True,1
B,CD19,60,0.8941873116839638,1.0,0.7722718614339829,0.006568158946834661,0.758991539478302,0.7835904359817505,Evidence at protein level,1.15,1.0283154084365582,True,2
B,BANK1,60,0.8691412788751255,1.0,0.6903064181804657,0.021579135934537787,0.6438469886779785,0.7274771332740784,Evidence at protein level,1.15,0.9995124707063943,True,3
B,CD22,60,0.8456436223635755,1.0,0.7518815236091614,0.008040720450796545,0.734996497631073,0.7650784850120544,Evidence at protein level,1.15,0.9724901657181118,True,4
B,SPIB,60,0.8414797455641111,1.0,0.6902122710943221,0.008243138389992622,0.6762869954109192,0.7071667909622192,Evidence at protein level,1.15,0.9677017073987276,True,5
B,TNFRSF13C,60,0.8344911282222967,1.0,0.6978564879894257,0.016872873295073337,0.6626101732254028,0.7281382083892822,Evidence at protein level,1.15,0.959664797455641,True,6
B,CD24,60,0.8298459993304318,1.0,0.6968088871240616,0.01946768867507835,0.6500396728515625,0.7256699800491333,Evidence at protein level,1.15,0.9543228992299965,True,7
B,BLNK,60,0.8083151991965182,1.0,0.6785486596822738,0.006578569544456837,0.665726363658905,0.6919296979904175,Evidence at protein level,1.15,0.9295624790759959,True,8
B,FCGR2B,60,0.8051347505858721,1.0,0.6991220018863677,0.027257913595518112,0.6345953941345215,0.7222364544868469,Evidence at protein level,1.15,0.9259049631737529,True,9
B,IGLL5,60,0.7987529293605624,1.0,0.6750567697286606,0.01966926734123038,0.6440320611000061,0.7273845672607422,Evidence at protein level,1.15,0.9185658687646467,True,10
CD4Tconv,GZMK,60,0.8818212253096753,1.0,0.7715158680677414,0.011883744316938274,0.7415682077407837,0.7881743907928467,Evidence at protein level,1.15,1.0140944091061266,True,1
CD4Tconv,GZMM,60,0.8571099765651156,1.0,0.7322436535358429,0.014522819145249425,0.6843221187591553,0.762671947479248,Evidence at protein level,1.15,0.9856764730498828,True,2
CD4Tconv,CD247,60,0.8455599263475059,1.0,0.6972771508693695,0.007888574142382362,0.6821888089179993,0.7100713849067688,Evidence at protein level,1.15,0.9723939152996317,True,3
CD4Tconv,ITK,60,0.8411449614998325,1.0,0.711253879904747,0.025733744615803484,0.6259564757347107,0.7381038665771484,Evidence at protein level,1.15,0.9673167057248073,True,4
CD4Tconv,ICOS,60,0.8714010713090058,0.964,0.6967023963332176,0.06538463919097084,0.5083215832710266,0.7576736807823181,Evidence at protein level,1.15,0.9660352276531637,True,5
CD4Tconv,CD5,60,0.8359348844994978,1.0,0.6970331455469132,0.013955837870481033,0.6797381639480591,0.7395142912864685,Evidence at protein level,1.15,0.9613251171744224,True,6
CD4Tconv,CD6,60,0.8329009039169736,1.0,0.6777471789121627,0.03385041556184158,0.5637297034263611,0.7052274346351624,Evidence at protein level,1.15,0.9578360395045196,True,7
CD4Tconv,GZMA,60,0.8275652828925343,1.0,0.6784139646291732,0.036807576347006,0.5895627737045288,0.7180051207542419,Evidence at protein level,1.15,0.9517000753264143,True,8
CD4Tconv,CTLA4,60,0.8270631067961165,1.0,0.6755648802518844,0.025991611868991557,0.5957334041595459,0.7127248048782349,Evidence at protein level,1.15,0.9511225728155339,True,9
CD4Tconv,ZAP70,60,0.8266446267157683,1.0,0.6427633990049362,0.05425564224974301,0.562319278717041,0.7302230596542358,Evidence at protein level,1.15,0.9506413207231335,True,10
CD8Tex,CD8B,60,0.8866755942417142,1.0,0.765823694229126,0.01183143516400083,0.7379099130630493,0.7847320437431335,Evidence at protein level,1.15,1.0196769333779712,True,1
CD8Tex,GZMK,60,0.8861734181452963,1.0,0.7665511289834976,0.012125736674943736,0.7378349900245667,0.7845557332038879,Evidence at protein level,1.15,1.0190994308670906,True,2
CD8Tex,XCL1,60,0.8773225644459324,1.0,0.7388811700344086,0.011910277139388801,0.7008110284805298,0.7535260915756226,Evidence at protein level,1.15,1.0089209491128222,True,3
CD8Tex,GZMA,60,0.8749372279879478,1.0,0.6957179112434387,0.03656907633847559,0.6079822182655334,0.7349303364753723,Evidence at protein level,1.15,1.00617781218614,True,4
CD8Tex,KLRD1,60,0.8743513558754603,1.0,0.7221237660646439,0.017937184450574115,0.6891748905181885,0.7492110133171082,Evidence at protein level,1.15,1.0055040592567792,True,5
CD8Tex,GZMM,60,0.8551849681955139,1.0,0.7275588837862015,0.014407712366421922,0.6792577505111694,0.7604945302009583,Evidence at protein level,1.15,0.9834627134248409,True,6
CD8Tex,CD247,60,0.8500795112152661,1.0,0.6931389290094375,0.008056164841653618,0.6777150630950928,0.7066378593444824,Evidence at protein level,1.15,0.977591437897556,True,7
