repeat,fold,panel,model,n_test,events_test,harrell_c,uno_c,integrated_brier,brier_t365,auc_t365,calibration_intercept_t365,calibration_slope_t365,brier_t1095,auc_t1095,calibration_intercept_t1095,calibration_slope_t1095,brier_t1825,auc_t1825,calibration_intercept_t1825,calibration_slope_t1825
0,0,clinical,survpfn,37,15,0.6612377850162866,0.6139288660079159,0.1933896532912762,0.17358850451802524,0.7589428236744407,1.3633811703574583,2.8021341715296635,0.1949230072823977,0.4390249882676548,,,0.21012409408228414,0.4390249882676548,,
0,1,clinical,survpfn,37,15,0.5517241379310345,0.6348895168136535,0.28662511419202996,0.1662695061962969,0.4389186958381121,-2.0863157847108287,-0.2216318151101025,0.32335235825504366,0.640414328289491,0.32002089455931093,0.25227277099331963,0.33352623406173565,0.38961149934621525,,
0,2,clinical,survpfn,36,16,0.5210727969348659,0.6090903970053315,0.26735723807649586,0.18727526244460274,0.42304459343585676,-2.0358701142552107,-0.7109501221313079,0.34467878397576673,0.6398503328434205,-0.5338588970850581,0.8861531236485521,0.1927961219098474,1.0,,
0,3,clinical,survpfn,36,16,0.5605095541401274,0.5561359860542655,0.20658537575669128,0.21308843326505617,0.5696934318370966,0.2252413308095201,0.5638837082150713,0.23640700979767176,0.46716848749837464,0.30948238776992165,-0.2933955350715197,0.1404390501663655,0.9498065936772071,,
0,4,clinical,survpfn,36,15,0.7015384615384616,0.6288301696908416,0.1893408208012552,0.18499870712521146,0.7942240857275715,2.164615480576566,3.232320731126058,0.2428424788384973,0.42557112470864744,0.6948019386618166,-1.0826039609968119,0.08667961840281468,,,
1,0,clinical,survpfn,37,15,0.5290519877675841,0.5690073395233463,0.23534025041529866,0.21685247622062406,0.42583071717369697,-1.6805089798150001,-0.47625274184892974,0.23733203370805417,0.35160677324349304,,,0.24984445802446217,0.35160677324349304,,
1,1,clinical,survpfn,37,15,0.5622641509433962,0.5265818003583614,0.22208918314495396,0.18430788057838404,0.5393730908409294,-1.21333664612994,0.18134254348641674,0.29714220229591765,0.5887259835042198,-0.5498301948721807,0.8455121224555695,0.10976444740959644,,,
1,2,clinical,survpfn,36,16,0.6145833333333334,0.657866551376796,0.216833062077733,0.182662554249238,0.5922318674807802,-0.27910430885647064,0.8378817653759051,0.2729685409792981,0.6473432279569963,0.15112045406043684,0.942978209930659,0.13873261210309784,1.0,,
1,3,clinical,survpfn,36,16,0.5370370370370371,0.5322997495322762,0.23919791704979093,0.2094129227802805,0.6300763374780598,-0.4739987685346955,0.42967551116293606,0.3110293984200133,0.2756139220522189,1.4138887338157522,-1.6328626018838859,0.12531994857885664,,,
1,4,clinical,survpfn,36,15,0.714828897338403,0.5635594009586095,0.27753870946971426,0.14172671008029922,0.775973980474269,0.5516258705746804,2.115303132998654,0.2629257343476988,0.683488739766602,-0.2219706662772231,1.1490860930481195,0.4425766591031603,0.5604633484466146,-0.12402941840352137,0.8277887730129065
2,0,clinical,survpfn,37,15,0.5896551724137931,0.9162886814660859,0.4662185560778762,0.1835986704400903,0.5512581952067821,-0.4473837065502288,0.7506084635794554,0.33765714431330507,0.3545284988820869,-0.04705524591955449,-1.2841188116177136,1.0059612652448042,0.8160990372137326,-1.437243403797622,1.3034557752826677
2,1,clinical,survpfn,37,15,0.5318352059925093,0.4454660130705849,0.24806053671236017,0.16563662355798342,0.6308796780241677,-0.5645709202665449,0.6926804972118572,0.35678597971490184,0.2819694396711365,0.5629465213521265,-1.7691764871635665,0.11303356386165352,,,
2,2,clinical,survpfn,36,16,0.5035211267605634,0.6218031989265264,0.19648185853432548,0.1804357239895441,0.2765692098171719,-3.5708415524443455,-1.4826848831794932,0.22834113805520076,0.8091260140199895,1.6157367636047375,1.7416397523877043,0.1488094340373563,,,
2,3,clinical,survpfn,36,16,0.63125,0.6481601658427258,0.2006061600612728,0.18638454035140525,0.6650026260365405,0.04279089877657943,0.8718163677002175,0.227743480797267,0.7820841288999586,0.20734330115644536,1.4301898910987847,0.16055313829915197,,,
2,4,clinical,survpfn,36,15,0.5763239875389408,0.5794684006042414,0.19344891514146656,0.20792881825534879,0.6039017620132937,0.20417715655593377,0.8611506271884417,0.21952494439286965,0.5,1.148254368710931,0.7611119485091856,0.1268169535247782,1.0,,
3,0,clinical,survpfn,37,15,0.6006944444444444,0.6136001237958643,0.22001355602943104,0.1671688794466514,0.5847512001213591,-0.3950733902081987,0.9095136451376316,0.2732160859445459,0.7552529000866337,0.9974736339335927,1.2390553546967087,0.1664531727819809,1.0,,
3,1,clinical,survpfn,37,15,0.6042296072507553,0.565466449326988,0.1720918803124741,0.19481479361718979,0.5309963257369563,-0.6614256121758563,0.26706830813491406,0.20932278373664834,0.17238465389211435,5.1511529746093565,-7.287878020726964,0.0749071601594099,,,
3,2,clinical,survpfn,36,16,0.610236220472441,0.5155734282489638,0.36174701244715457,0.1606083777732463,0.5569955014176623,-1.3164991702054756,0.19697043074529724,0.3137710230518789,0.6616727107637489,-0.5890464809165774,0.6984741280020335,0.658837625911614,0.5418586826198579,0.298469204134953,0.3641753851037027
3,3,clinical,survpfn,36,16,0.602112676056338,0.5796806533272899,0.18142327677061548,0.18238858417468154,0.6602724806131464,0.9337842761433272,1.4862184604590702,0.21595794411456443,0.43255169732424326,0.9408877789627831,-0.04648051513180445,0.11138863467865152,,,
3,4,clinical,survpfn,36,15,0.5897435897435898,0.5605236983870915,0.26133147844597265,0.2028841507719554,0.6235024384920704,-0.7846398474075416,0.5140658434493663,0.32627770329493777,0.3902351516167916,0.5892725738967025,-0.7679354420206875,0.1898863564220596,0.6188992242234943,,
4,0,clinical,survpfn,37,15,0.6825938566552902,0.6521564582046743,0.13606775442257457,0.15668112595605563,0.7321787883233803,-0.15919766195538707,1.7061700647420408,0.15246326318039707,0.7110247552119578,,,0.0826633653734485,,,
4,1,clinical,survpfn,37,15,0.6814159292035398,0.6997431772549437,0.21605351575521647,0.20407297898801383,0.6505335269528038,0.8200296275534177,1.3016242195548198,0.20473195583599474,0.7182472951591293,0.7525435658463078,2.2063522349547435,0.25067717236086245,0.7271499385156376,-0.7070691371068364,1.8389182589822035
4,2,clinical,survpfn,36,16,0.5201465201465202,0.6213719901632618,0.25996988575879226,0.17976574727585115,0.5361813802769417,-0.6539135838668307,0.4113276684298375,0.3029175200446997,0.519559114493817,-0.31392770607623166,0.005012679385897617,0.25427875566991864,0.8237581516048895,,
4,3,clinical,survpfn,36,16,0.40816326530612246,0.3121410932704436,0.3390484382443381,0.19053724403779712,0.3405591549939332,-2.6672361527321935,-0.9471788178807544,0.5040924624385128,0.2985781786281721,0.8650398977500586,-1.7936905979249487,0.15747158406252973,,,
4,4,clinical,survpfn,36,15,0.6613418530351438,0.5027267451186636,0.23699794201965504,0.2015847386551536,0.6904714248146292,1.0765963199369064,1.5941125707908745,0.24476329206637523,0.5032560162584231,0.5014281792432558,0.1623487944365083,0.25688044529071596,0.19974332379896678,,
5,0,clinical,survpfn,37,15,0.7092198581560284,0.6429986370115973,0.22237567317796314,0.14013017628854516,0.7644170627520464,0.3995742928646615,2.3121315180534436,0.3217910776581916,0.5114417017436051,0.4814998142924118,-0.6788672805214365,0.10579036110692418,,,
5,1,clinical,survpfn,37,15,0.6409495548961425,0.6173450142963504,0.18494856163236711,0.20648444078405287,0.6761116687879581,1.0387680259649563,1.7021244840825351,0.15954316236936802,0.782582313277262,0.8078804688799843,2.1365185906622357,0.2142234810066795,0.5116340180423435,,
5,2,clinical,survpfn,36,16,0.5936507936507937,0.5646861519448737,0.212438246098813,0.1865608393997499,0.6019224388816627,-0.5320861131516863,0.6080506870959347,0.26205445802925964,0.08299443137498197,,,0.13908322893698286,,,
