dataset,model,horizon_days,threshold_probability,net_benefit,treat_all_net_benefit
GSE53625_locked_external,elastic_net_cox,365,0.05,0.21052631578947367,0.21052631578947367
GSE53625_locked_external,elastic_net_cox,365,0.075,0.1891891891891892,0.1891891891891892
GSE53625_locked_external,elastic_net_cox,365,0.1,0.16666666666666666,0.16666666666666666
GSE53625_locked_external,elastic_net_cox,365,0.125,0.14285714285714285,0.14285714285714285
GSE53625_locked_external,elastic_net_cox,365,0.15,0.11862745098039215,0.11764705882352941
GSE53625_locked_external,elastic_net_cox,365,0.175,0.0702020202020202,0.09090909090909094
GSE53625_locked_external,elastic_net_cox,365,0.2,0.075,0.06249999999999997
GSE53625_locked_external,elastic_net_cox,365,0.225,0.06774193548387096,0.03225806451612903
GSE53625_locked_external,elastic_net_cox,365,0.25,0.03888888888888889,0.0
GSE53625_locked_external,elastic_net_cox,365,0.275,-0.04080459770114944,-0.03448275862068967
GSE53625_locked_external,elastic_net_cox,365,0.3,-0.033333333333333326,-0.0714285714285714
GSE53625_locked_external,elastic_net_cox,365,0.325,-0.022839506172839502,-0.1111111111111111
GSE53625_locked_external,elastic_net_cox,365,0.35,-0.001282051282051281,-0.15384615384615374
GSE53625_locked_external,elastic_net_cox,365,0.375,0.0,-0.2
GSE53625_locked_external,elastic_net_cox,365,0.4,0.0,-0.2500000000000001
GSE53625_locked_external,elastic_net_cox,365,0.425,0.0,-0.30434782608695654
GSE53625_locked_external,elastic_net_cox,365,0.45,0.0,-0.36363636363636365
GSE53625_locked_external,elastic_net_cox,365,0.475,0.0,-0.4285714285714285
GSE53625_locked_external,elastic_net_cox,365,0.5,0.0,-0.5
GSE53625_locked_external,elastic_net_cox,365,0.525,0.0,-0.5789473684210528
GSE53625_locked_external,elastic_net_cox,365,0.55,0.0,-0.6666666666666669
GSE53625_locked_external,elastic_net_cox,365,0.575,0.0,-0.7647058823529409
GSE53625_locked_external,elastic_net_cox,365,0.6,0.0,-0.8749999999999998
GSE53625_locked_external,elastic_net_cox,1095,0.05,0.42105263157894735,0.42105263157894735
GSE53625_locked_external,elastic_net_cox,1095,0.075,0.40540540540540543,0.40540540540540543
GSE53625_locked_external,elastic_net_cox,1095,0.1,0.3888888888888889,0.3888888888888889
GSE53625_locked_external,elastic_net_cox,1095,0.125,0.37142857142857144,0.37142857142857144
GSE53625_locked_external,elastic_net_cox,1095,0.15,0.35294117647058826,0.35294117647058826
GSE53625_locked_external,elastic_net_cox,1095,0.175,0.3333333333333333,0.3333333333333333
GSE53625_locked_external,elastic_net_cox,1095,0.2,0.3125,0.3125
GSE53625_locked_external,elastic_net_cox,1095,0.225,0.29032258064516125,0.29032258064516125
