dataset,model,repeat,horizon_days,threshold_probability,net_benefit,treat_all_net_benefit
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.05,0.19571073753339785,0.19571073753339785
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.075,0.17388162962346304,0.17388162962346304
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.1,0.14629640037503563,0.15083979349630958
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.125,0.12522151604353737,0.12648128101903308
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.15,0.08682731126150985,0.10068991486662268
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.175,0.0803399008799212,0.07333543561406616
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.2,0.06141793573193827,0.04427130140822488
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.225,0.052581000170228834,0.013332061769748688
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.25,0.03473934023518596,-0.019669793844625916
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.275,0.02195277344600076,-0.054947639501371215
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.3,0.021175732627139787,-0.09274533127645546
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.325,-0.033254220407639014,-0.13334285207191626
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.35,-0.04225389924507461,-0.1770632590824125
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.375,-0.037488281677174454,-0.22428129865374857
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.4,-0.022033142447685082,-0.2754341748560293
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.425,0.0,-0.33103512724981254
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.45,0.0,-0.3916907116793943
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.475,0.0,-0.4581230184356029
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.5,0.0,-0.5311985558674325
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.525,0.0,-0.6119662551341916
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.55,0.0,-0.7017081432083682
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.575,0.0,-0.8020079004677417
TCGA_ESCA_outer_test,elastic_net_cox,0,365,0.6,0.0,-0.9148451273845372
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.05,0.5683212804829341,0.5683212804829341
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.075,0.5558277845119711,0.5558277845119711
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.1,0.5426402054315104,0.5426402054315104
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.125,0.5286990504035947,0.5286990504035947
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.15,0.5139378274328603,0.5139378274328603
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.175,0.49828198488814207,0.49828198488814207
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.2,0.481647652184379,0.481647652184379
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.225,0.46394013672553447,0.46394013672553447
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.25,0.4450521202361002,0.4450521202361002
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.275,0.42866182885294374,0.42486148191980844
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.3,0.4208556839323824,0.403228655152353
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.325,0.38184503333641506,0.37999339677249344
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.35,0.38967399440050543,0.3549708108249524
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.375,0.3628983292131752,0.32794641800160806
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.4,0.32538777736140456,0.298669992442985
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.425,0.2973758524313941,0.2668477907488295
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.45,0.2527061816076016,0.23213266162793272
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.475,0.21628677137969954,0.19411132973361706
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.5,0.17646343880211618,0.15228786464986982
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.525,0.18080285913148597,0.10606192955730709
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.55,0.16488391747186687,0.054699779454459585
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.575,0.13083422052491545,-0.0027049765428402983
TCGA_ESCA_outer_test,elastic_net_cox,0,1095,0.6,0.08815962742393652,-0.06728532703980294
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.05,0.19575271860359122,0.19575271860359122
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.075,0.17401723056578228,0.17401723056578228
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.1,0.15107421541476174,0.15107421541476174
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.125,0.1296631889560073,0.12682017082654
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.15,0.08609367690490502,0.10113941773312876
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.175,0.056249242736388844,0.07390225536132897
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.2,0.04484350326819472,0.04496277034129165
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.225,0.019723544446900818,0.01415622177157455
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.25,0.02195178448412647,-0.018704096702790357
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.275,0.01264657511742346,-0.05383064403745633
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.3,0.017312875766847993,-0.09146623046745553
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.325,0.0012558631466170027,-0.13188963811449175
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.35,0.0012351394133701867,-0.17542253865745375
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.375,-0.00208372081641972,-0.22243807124385293
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.4,-0.002972877124911855,-0.2733715648791186
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.425,0.000951318845869081,-0.328734057960929
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.45,-0.005498636324208889,-0.3891295049592677
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.475,-0.006080502601902951,-0.4552768992907814
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.5,-0.00672055550736642,-0.5280390330554466
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.525,0.0,-0.6084603387953398
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.55,0.0,-0.6978173451729989
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.575,0.0,-0.7976869405362644
TCGA_ESCA_outer_test,elastic_net_cox,1,365,0.6,0.0,-0.9100402353199387
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.05,0.5659048281645743,0.5659048281645743
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.075,0.5536427624273782,0.5536427624273782
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.1,0.5406994708158933,0.5406994708158933
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.125,0.5270165625408951,0.5270165625408951
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.15,0.5125287773085441,0.5125287773085441
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.175,0.49716294448635345,0.49716294448635345
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.2,0.480836747112776,0.480836747112776
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.225,0.4634572466828387,0.4634572466828387
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.25,0.4449191128909056,0.4449191128909056
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.275,0.4251024871133219,0.4251024871133219
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.3,0.4038703880659108,0.4038703880659108
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.325,0.38106554094091377,0.38106554094091377
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.35,0.3565064748063015,0.3565064748063015
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.375,0.3299826833809203,0.3299826833809203
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.4,0.3012485760034239,0.3012485760034239
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.425,0.24561241194139205,0.27001585059310185
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.45,0.2162391589968649,0.23594378650911418
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.475,0.2045230688651969,0.1986267639409371
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.5,0.12014340448509703,0.15757803911594231
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.525,0.12306892865901986,0.11220839588831649
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.55,0.015407203960245752,0.06179768119095452
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.575,-0.02505945815814442,0.005456294176255927
TCGA_ESCA_outer_test,elastic_net_cox,1,1095,0.6,0.03467044248539217,-0.05792776621528006
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.05,0.1963637289863501,0.19601620363228944
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.075,0.17028090567977758,0.17425411149844106
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.1,0.14517366624439876,0.15128301424604557
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.125,0.10594740220252942,0.12699928286494175
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.15,0.08474683672497249,0.10128709669671418
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.175,0.06848949994314119,0.07401659621526069
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.2,0.036248840238078506,0.045041689453716366
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.225,0.01503445538765806,0.014197433868846587
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.25,-0.003728869733170534,-0.018703105421681132
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.275,-0.009327533873025318,-0.05387264742190051
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.3,-0.005883414171274401,-0.09155429956499261
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.325,-0.019512279659707317,-0.1320271852001656
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.35,-0.020130327133689428,-0.1756133697303519
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.375,-0.01509053876601504,-0.2226864490229532
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.4,-0.010695861424699778,-0.2736822849232713
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.425,-0.01966973717783681,-0.32911254133666046
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.45,-0.016376776868237585,-0.38958191196944847
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.475,-0.011987365449393427,-0.45581027028154975
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.5,-0.01324919339143484,-0.5286614644248613
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.525,-0.014643845327375352,-0.6091812053201003
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.55,-0.008131758127679842,-0.6986475840925881
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.575,-0.009001464879303351,-0.7986394191912506
TCGA_ESCA_outer_test,elastic_net_cox,2,365,0.6,-0.009979884974879805,-0.9111302336772463
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.05,0.5725853258189347,0.5725853258189347
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.075,0.5605376619614937,0.5605376619614937
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.1,0.5478206834453059,0.5478206834453059
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.125,0.5343770204424788,0.5343770204424788
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.15,0.520142553733603,0.520142553733603
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.175,0.5050453920726742,0.5050453920726742
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.2,0.4890046578079372,0.4890046578079372
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.225,0.4730966943647468,0.4719290374616044
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.25,0.45596139975516026,0.4537150424255161
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.275,0.4376443606897401,0.43424490980073194
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.3,0.4214416328262113,0.41338405341703477
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.325,0.3830175052887966,0.3909779484123229
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.35,0.36292831181514607,0.36684829686878706
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.375,0.3469508653220096,0.34078827320176835
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.4,0.3133420282330839,0.3125565808958314
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.425,0.28961119051233025,0.28186995882416077
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.45,0.2464675939085233,0.24839364383688378
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.475,0.1842728318578195,0.2117291083746281
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.5,0.13586485731134157,0.17139811936614668
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.525,0.10401993517436842,0.1268217630936146
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.55,0.059939491383657284,0.07729247834635677
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.575,0.017697470043267993,0.02193621892295128
TCGA_ESCA_outer_test,elastic_net_cox,2,1095,0.6,0.04861233992895819,-0.040339572928380196
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.05,0.19561951994080845,0.19561951994080845
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.075,0.17545909956160674,0.17384024068605686
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.1,0.15454839520081573,0.15085100147270794
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.125,0.12131842968359181,0.12654809144716767
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.15,0.10073099066425881,0.10081559847894855
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.175,0.06411465489702811,0.0735235604823525
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.2,0.04830745696827432,0.044525770110969254
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.225,0.014162949907553207,0.013657154554335471
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.25,-0.004742443635248832,-0.019269368706073958
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.275,-0.007318264165497995,-0.05446668667409785
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.3,-0.01004185069878124,-0.09217809878269476
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.325,0.0010220085568922593,-0.13268294882526185
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.35,-0.007519044493646255,-0.1763035565634111
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.375,0.005566386268664059,-0.22341381292061227
TCGA_ESCA_outer_test,elastic_net_cox,3,365,0.4,0.004213215936447525,-0.27444992397424695
