model,horizon_days,risk_group,tcga_cutpoint_low,tcga_cutpoint_high,patients,events_total_followup,mean_predicted_risk,km_observed_risk,km_ci95_low,km_ci95_high
elastic_net_cox,365,low,0.1851014480148673,0.2793597868255761,24,9,0.16382119313385854,0.16666666666666685,0.06605308723920711,0.3851882421843742
elastic_net_cox,365,intermediate,0.1851014480148673,0.2793597868255761,15,11,0.21499354904449394,0.4666666666666668,0.2562335826977462,0.7367983815212
elastic_net_cox,365,high,0.1851014480148673,0.2793597868255761,21,13,0.3224542034594183,0.19047619047619047,0.07611117144070512,0.4310949400758275
elastic_net_cox,1095,low,0.5051780173821663,0.670884949476906,25,9,0.4572875477933701,0.24,0.11572236215846488,0.4579518775332473
elastic_net_cox,1095,intermediate,0.5051780173821663,0.670884949476906,14,11,0.5628757942978613,0.7857142857142856,0.5521368399843745,0.9478769318836076
elastic_net_cox,1095,high,0.5051780173821663,0.670884949476906,21,13,0.733150629595162,0.47619047619047616,0.2911878008412675,0.7032612049521241
survivalpfn,365,low,0.14186896284421285,0.28576318820317587,29,12,0.10524131717353032,0.206896551724138,0.09873220008853878,0.4036264942493092
survivalpfn,365,intermediate,0.14186896284421285,0.28576318820317587,11,6,0.20643120462244208,0.18181818181818177,0.048837771417508224,0.5525713853178189
survivalpfn,365,high,0.14186896284421285,0.28576318820317587,20,15,0.3708274021744728,0.34999999999999987,0.18469509502198866,0.5969988004454787
survivalpfn,1095,low,0.44904356201489765,0.6540026028951009,27,10,0.3784533650786788,0.2592592592592594,0.13296195467854122,0.46807650650541577
survivalpfn,1095,intermediate,0.44904356201489765,0.6540026028951009,14,9,0.547146452324731,0.6428571428571428,0.40564992587749804,0.869653783749306
survivalpfn,1095,high,0.44904356201489765,0.6540026028951009,19,14,0.7266226246168739,0.5789473684210527,0.37512875393609313,0.7963288980273766
survpfn,365,low,0.19595895608266192,0.33213893373807263,31,14,0.17188429255639354,0.19354838709677435,0.09198286226258667,0.3809390834655382
survpfn,365,intermediate,0.19595895608266192,0.33213893373807263,12,7,0.26772068440914154,0.41666666666666674,0.19905980766661324,0.7298610759145028
survpfn,365,high,0.19595895608266192,0.33213893373807263,17,12,0.3740226766642402,0.23529411764705888,0.09551410519080139,0.5117218870456705
survpfn,1095,low,0.4046358307202657,0.5939867993195852,32,15,0.3612081129103899,0.3750000000000001,0.23320007064915804,0.564794052238136
survpfn,1095,intermediate,0.4046358307202657,0.5939867993195852,11,6,0.5174568512222983,0.5454545454545456,0.2931244950977385,0.8333825058763397
survpfn,1095,high,0.4046358307202657,0.5939867993195852,17,12,0.6413099204792696,0.5294117647058825,0.32032240729935246,0.7704023441540514
