model,histology,patients,events,harrell_c,uno_c
elastic_net_cox,EAC,88,45,0.5248933143669986,0.5499675240131161
elastic_net_cox,ESCC,94,32,0.6656680647094069,0.6205062947496226
random_survival_forest,EAC,88,45,0.5135135135135135,0.5319823361175163
random_survival_forest,ESCC,94,32,0.6494907130017975,0.6150505059682463
survivalpfn,EAC,88,45,0.5229966808914177,0.5355172952293729
survivalpfn,ESCC,94,32,0.7040143798681845,0.6461797741718723
survpfn,EAC,88,45,0.4917022285443338,0.4933481975587356
survpfn,ESCC,94,32,0.6746554823247454,0.6423887209719283
xgb_aft,EAC,88,45,0.49359886201991465,0.49564579050928115
xgb_aft,ESCC,94,32,0.6171360095865788,0.6394903603960335
