feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,penalizer,n,events,error,fdr_bh
pathway__REACTOME_NEUTROPHIL_DEGRANULATION,external_pathway,-0.2570409121335025,0.773336574269065,0.5531377773545972,1.0811943815560885,0.13274308734193985,0.05,60,33,,0.9334169449272697
pathway__REACTOME_SARS_COV_INFECTIONS,external_pathway,0.06483976481134647,1.0669880416556878,0.7682848383725528,1.481824740219827,0.6988025212913305,0.05,60,33,,0.9334169449272697
pathway__REACTOME_GPCR_LIGAND_BINDING,external_pathway,-0.17956403212853608,0.835634441778038,0.6163721510519985,1.1328949873771703,0.24751773644988762,0.05,60,33,,0.9334169449272697
pathway__REACTOME_SIGNALING_BY_INTERLEUKINS,external_pathway,-0.21284530938419097,0.8082811610567824,0.608454703319471,1.0737338897292956,0.14184090444180233,0.05,60,33,,0.9334169449272697
pathway__REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,external_pathway,-0.20360843084775218,0.8157817436207843,0.5942330753728305,1.1199306817571921,0.20789439373022045,0.05,60,33,,0.9334169449272697
pathway__REACTOME_RHO_GTPASE_CYCLE,external_pathway,-0.1358280224375625,0.8729927547455062,0.6363616031073012,1.1976152334094268,0.3997683682016354,0.05,60,33,,0.9334169449272697
pathway__REACTOME_OLFACTORY_SIGNALING_PATHWAY,external_pathway,0.08029759261293865,1.083609493877439,0.8153442907646279,1.4401395196134246,0.5800618355003189,0.05,60,33,,0.9334169449272697
pathway__REACTOME_NEURONAL_SYSTEM,external_pathway,-0.020070741981602087,0.9801293345628508,0.7282447259522545,1.3191355573697618,0.8946443296260715,0.05,60,33,,0.9334169449272697
pathway__REACTOME_M_PHASE,external_pathway,-0.031305573023975915,0.9691793727512096,0.7005802484719426,1.340758119594698,0.850045515441834,0.05,60,33,,0.9334169449272697
pathway__REACTOME_DENGUE_VIRUS_INFECTION,external_pathway,0.11064347450710306,1.1169965980923644,0.8467207234068944,1.4735453682173996,0.43374491982310237,0.05,60,33,,0.9334169449272697
pathway__REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,external_pathway,-0.22468392865014186,0.7987686467490501,0.5846756390559049,1.0912569438664472,0.15813078410541545,0.05,60,33,,0.9334169449272697
pathway__REACTOME_TRANSLATION,external_pathway,0.03244331880497911,1.0329753412078246,0.7220829086849895,1.4777223539145141,0.8590447511468537,0.05,60,33,,0.9334169449272697
pathway__REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,external_pathway,-0.10247988765140377,0.9025963029018593,0.6369253647012351,1.279082497200045,0.5645180636363695,0.05,60,33,,0.9334169449272697
pathway__REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,external_pathway,-0.1102444443719881,0.8956151804461508,0.6402032594851291,1.25292481655074,0.5198301052938692,0.05,60,33,,0.9334169449272697
pathway__REACTOME_CELL_CELL_COMMUNICATION,external_pathway,-0.01731845461959794,0.9828306478334624,0.6546847985774256,1.4754521327204846,0.9334169449272698,0.05,60,33,,0.9334169449272697
pathway__REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,external_pathway,-0.14617481549090233,0.8640066482353007,0.6333922754176605,1.178586347145692,0.3561505270452816,0.05,60,33,,0.9334169449272697
pathway__REACTOME_DNA_REPAIR,external_pathway,-0.093338116509476,0.9108854628095777,0.6302985712474443,1.3163798304598853,0.619318803343703,0.05,60,33,,0.9334169449272697
pathway__REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,external_pathway,0.05414321658452118,1.0556357758798494,0.7489253950970463,1.4879544726521807,0.7572069905222254,0.05,60,33,,0.9334169449272697
pathway__REACTOME_RHO_GTPASE_EFFECTORS,external_pathway,-0.05507747369760884,0.9464118230897509,0.69651497078007,1.285967102589226,0.7247631519092905,0.05,60,33,,0.9334169449272697
pathway__REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,external_pathway,0.029073868255970893,1.029500639083185,0.745791269453094,1.421136998090517,0.8596987434178404,0.05,60,33,,0.9334169449272697
pathway__REACTOME_SIGNALING_BY_WNT,external_pathway,0.12832967870929782,1.1369277617956917,0.8246560336892714,1.5674471327870156,0.43347041800554564,0.05,60,33,,0.9334169449272697
pathway__REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,external_pathway,-0.06957319800775698,0.9327918523803236,0.6968511335038613,1.248617671743077,0.6400608590260286,0.05,60,33,,0.9334169449272697
pathway__REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,external_pathway,-0.10914386818649335,0.8966014157991393,0.6374302946786967,1.2611482471479212,0.5306464257254617,0.05,60,33,,0.9334169449272697
pathway__REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,external_pathway,-0.160293125674067,0.8518940403493227,0.6357484307243689,1.1415261460508954,0.28304824312429644,0.05,60,33,,0.9334169449272697
