feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,n,events,error,fdr_bh,valid_training_splits,split_log_hr_median,split_log_hr_q25,split_log_hr_q75,direction_consistency,gene,state,state_rank,prominence_score,bootstrap_selection_frequency,stable_marker,hpa_evidence
PTGDS,gene,-0.3051351121402313,0.7370237868027968,0.5710725946892865,0.9511996677212028,0.019060041593535,182,77,,0.9172562174922776,50,-0.3033852810825492,-0.3543460412020734,-0.2591824787195903,1.0,PTGDS,Fibroblasts,7,1.021794442584533,1.0,True,Evidence at protein level
XCL1,gene,0.273334129342844,1.3143393308017746,0.9998755424917388,1.7277029020906665,0.0501043667568259,182,77,,0.9172562174922776,50,0.261760573307518,0.1960762599092211,0.3318542758473148,1.0,XCL1,CD8Tex,3,1.0089209491128222,1.0,True,Evidence at protein level
VPREB3,gene,-0.2783050990445427,0.757065806220721,0.5688149699500217,1.0076187604538418,0.0564001035759587,182,77,,0.9172562174922776,50,-0.2843483317931614,-0.3439939169522901,-0.2211354725374824,1.0,VPREB3,B,1,1.0382532641446267,1.0,True,Evidence at protein level
MMP12,gene,0.2552619510038301,1.2907997028684075,0.9903333174562782,1.6824273641573495,0.0590106585381434,182,77,,0.9172562174922776,50,0.2728613634266728,0.220933944990406,0.3569868203191956,1.0,MMP12,Mono/Macro,1,1.0367613826581854,1.0,True,Evidence at protein level
C5AR1,gene,0.1906295618681709,1.2100111347852531,0.991637107668592,1.4764745439453757,0.0604821325147819,182,77,,0.9172562174922776,50,0.2006514819366564,0.1537483293446901,0.2516196438662672,1.0,C5AR1,Mono/Macro,3,1.0236953883495146,1.0,True,Evidence at protein level
CPVL,gene,0.1718101394565169,1.1874523614597812,0.9586432756310586,1.4708736258627624,0.1156682894186683,182,77,,0.9172562174922776,50,0.1708426450891925,0.1243287687334689,0.209601762053159,1.0,CPVL,DC,3,1.005335621024439,1.0,True,Evidence at protein level
IDO1,gene,0.1839663541789002,1.2019753809673166,0.9536075289165828,1.5150308409298494,0.1192967173835957,182,77,,0.9172562174922776,50,0.1966076770688562,0.1359869974523117,0.2274302479258998,1.0,IDO1,DC,8,0.9511529879477736,0.984,True,Evidence at protein level
MAOB,gene,-0.1931641971821622,0.8243466076359143,0.6354825081310461,1.0693407305881455,0.145675231749699,182,77,,0.9172562174922776,50,-0.2141956784880436,-0.2496473506951042,-0.1563876687042281,1.0,MAOB,Mast,9,1.0049506193505189,1.0,True,Evidence at protein level
TREM2,gene,0.1717833306005409,1.1874205276471606,0.9388177314183042,1.5018543667126685,0.1517937257005963,182,77,,0.9172562174922776,50,0.1791479309713111,0.1196059758049085,0.2304897066837577,1.0,TREM2,Mono/Macro,6,1.0113512721794442,1.0,True,Evidence at protein level
ICOS,gene,0.1668030751727299,1.1815215714661391,0.9343869123854892,1.4940205233352908,0.163573603831953,182,77,,0.9172562174922776,50,0.152292557507615,0.1214033063956504,0.2253055783800576,1.0,ICOS,Treg,3,0.9760560512219618,0.964,True,Evidence at protein level
LGALS7B,gene,-0.2053491011821276,0.8143629717056624,0.6097888308504594,1.0875683779913528,0.1641524413539636,182,77,,0.9172562174922776,50,-0.199753734771421,-0.2530596416856053,-0.1346587637030722,0.98,LGALS7B,Malignant,10,1.0186663039839303,1.0,True,Evidence at protein level
MS4A7,gene,0.1533471842699475,1.1657296316852723,0.9376043034122378,1.4493593611329667,0.1675495900604651,182,77,,0.9172562174922776,50,0.1595179628572327,0.1001272902299601,0.2045202500914683,1.0,MS4A7,DC,6,0.9622970539002342,0.996,True,Evidence at protein level
CFP,gene,0.1769502978298678,1.1935717685457656,0.922938189075766,1.5435633540054077,0.1774245659741784,182,77,,0.9172562174922776,50,0.1683059298027333,0.1055559261557356,0.221883823163267,1.0,CFP,DC,5,0.9736932959491128,1.0,True,Evidence at protein level
CD5,gene,0.1618924857968971,1.175733826440013,0.9288889613653762,1.4881757541863292,0.1781561001423792,182,77,,0.9172562174922776,50,0.1519576198044829,0.1280732222928665,0.1991438805965837,1.0,CD5,CD4Tconv,6,0.9613251171744224,1.0,True,Evidence at protein level
CALD1,gene,0.1464267793489925,1.1576901608877943,0.934650564017207,1.433954635255249,0.1799133130661835,182,77,,0.9172562174922776,50,0.1401489010497003,0.1043058287424901,0.1791380532895503,0.98,CALD1,Pericytes,7,1.0394082691663875,1.0,True,Evidence at protein level
TNFRSF13C,gene,-0.1843181845354087,0.8316711368281472,0.631333602051718,1.095580652740802,0.1899290143338497,182,77,,0.9172562174922776,50,-0.2021326629338214,-0.2649457293893845,-0.1233727872277905,0.98,TNFRSF13C,B,6,0.959664797455641,1.0,True,Evidence at protein level
