feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,n,events,error,fdr_bh,valid_training_splits,split_log_hr_median,split_log_hr_q25,split_log_hr_q75,direction_consistency
pathway__REACTOME_DENGUE_VIRUS_INFECTION,pathway,0.2484565954739088,1.2820451745984054,1.0130976184243847,1.6223903795838734,0.0386129654601249,182,77,,0.4535585930018883,50,0.2417220464951434,0.2043362920385823,0.3028900473608323,1.0
pathway__REACTOME_M_PHASE,pathway,0.2001931161381585,1.2216386535208292,0.986715456573676,1.512493789200869,0.0661758308349003,182,77,,0.4535585930018883,50,0.2050321542438902,0.1571720680808811,0.2502750042810445,1.0
pathway__REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,pathway,0.2213405797675433,1.2477483160376883,0.984898397729008,1.5807476829739524,0.0666707228465306,182,77,,0.4535585930018883,50,0.2185761693409499,0.183235280242008,0.2794401155099214,1.0
pathway__REACTOME_RHO_GTPASE_EFFECTORS,pathway,0.2071091846795397,1.230116874365451,0.9788823110932964,1.545831922234425,0.075593098833648,182,77,,0.4535585930018883,50,0.2110223049637153,0.1658337199615539,0.250980874609061,1.0
pathway__REACTOME_CELL_CELL_COMMUNICATION,pathway,0.2275074804863175,1.2554668312214552,0.9506386438526544,1.6580400707353815,0.1088822008967496,182,77,,0.5226345643043985,50,0.2288286662957852,0.1832879424223319,0.2655917236586508,1.0
pathway__REACTOME_DNA_REPAIR,pathway,0.0972906235160331,1.102180646694159,0.8799524682394217,1.380531587550051,0.3970932904501896,182,77,,0.9973778313048252,50,0.1012174556847577,0.0543431461244733,0.1379360041024054,0.98
pathway__REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,pathway,-0.1139232706203558,0.8923264209084516,0.6592745645980719,1.2077615066747196,0.4607175026158956,182,77,,0.9973778313048252,50,-0.1045427859042527,-0.17553236967141,-0.0503600750195854,0.94
pathway__REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,pathway,0.1005788330984975,1.1058108127607722,0.8350659710947478,1.4643364667531122,0.4826949850066176,182,77,,0.9973778313048252,50,0.1135885592521296,0.0714313351397128,0.1556429160862164,0.92
pathway__REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,pathway,0.1029075786032355,1.1083889654857415,0.8214420326694225,1.4955724810163875,0.5008127833482103,182,77,,0.9973778313048252,50,0.1081132466602818,0.0461135362126383,0.174542646524395,0.86
pathway__REACTOME_RHO_GTPASE_CYCLE,pathway,-0.0640129798042335,0.9379928244884804,0.7535974535836222,1.1675073138954657,0.5665128351697102,182,77,,0.9973778313048252,50,-0.0637810943499109,-0.1070062841946516,-0.0336892627117402,0.94
pathway__REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,pathway,0.0647056786402055,1.0668449829058433,0.8544939364252838,1.331967576402912,0.5677356025997605,182,77,,0.9973778313048252,50,0.0732532643183344,0.0283527910967173,0.1154845168557546,0.88
pathway__REACTOME_SIGNALING_BY_INTERLEUKINS,pathway,0.0626113962783729,1.0646130462439023,0.8385539257088958,1.3516136571354884,0.6071624767541295,182,77,,0.9973778313048252,50,0.0607619143962597,0.0213492532600328,0.1313197849483734,0.86
pathway__REACTOME_OLFACTORY_SIGNALING_PATHWAY,pathway,-0.0699583796092032,0.9324326273086933,0.7120891044993317,1.220957600637756,0.611031399346764,182,77,,0.9973778313048252,50,-0.0887440105623432,-0.1256966014424727,-0.0459285627210251,0.8
pathway__REACTOME_NEURONAL_SYSTEM,pathway,-0.0603510954321666,0.9414339423962548,0.7410322874367529,1.1960313780138765,0.6211818499451804,182,77,,0.9973778313048252,50,-0.0583060725170778,-0.1131665554208196,-0.0292568050205409,0.88
pathway__REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,pathway,0.0399987972675413,1.0408095223762397,0.8308697171415553,1.3037958172261763,0.7278455540517033,182,77,,0.9973778313048252,50,0.0341524522770108,0.0042780735708896,0.0878533993500897,0.8
pathway__REACTOME_SIGNALING_BY_WNT,pathway,0.0429627704231793,1.0438990302080218,0.7146906839847945,1.5247507903607052,0.8241151164431162,182,77,,0.9973778313048252,50,0.0296052532581467,-0.0194065625083055,0.0854685837454017,0.58
