scenario,comparator,comparator_label,donors,mean_mae_improvement_primary,ci95_low,ci95_high,wilcoxon_p,fdr_bh
heldout_donor_clean,nu_svr,CIBERSORT-style nu-SVR,67,-0.0001373699359327,-0.0010110150424904,0.0007205914211938,0.7930445848029359,0.7930445848029359
heldout_donor_clean,ordinary_nnls,Ordinary NNLS,67,0.0013231883082267,0.0011234053902203,0.0015489225708175,2.0109396693496937e-12,3.1431625803912453e-12
heldout_donor_clean,ridge_nnls,Ridge NNLS,67,0.0156303930850731,0.0148036491440002,0.016473348015147,1.119700309921998e-12,2.7992507748049957e-12
heldout_donor_clean,simplex_nnls,Simplex-constrained NNLS,67,-0.0062622992267569,-0.0070361079845869,-0.005497059281084,2.5145300643129964e-12,3.1431625803912453e-12
heldout_donor_clean,unbalanced_ot_hpa,HPA-weighted unbalanced OT,67,0.0502440924368287,0.0486450831247516,0.0517737722196585,1.119700309921998e-12,2.7992507748049957e-12
heldout_donor_platform_shift,nu_svr,CIBERSORT-style nu-SVR,67,-0.0019575611182843,-0.0031584127191424,-0.0007779957889402,0.0057621601158171,0.0057621601158171
heldout_donor_platform_shift,ordinary_nnls,Ordinary NNLS,67,0.0008105187988301,0.0006545015901597,0.0009616313824678,6.960856539286549e-11,8.701070674108188e-11
heldout_donor_platform_shift,ridge_nnls,Ridge NNLS,67,0.0151099030046035,0.0142857098783433,0.0159020566687307,1.119700309921998e-12,2.7992507748049957e-12
heldout_donor_platform_shift,simplex_nnls,Simplex-constrained NNLS,67,-0.0065531097938419,-0.0073095035237963,-0.0057654098675231,1.680557198674457e-12,2.8009286644574287e-12
heldout_donor_platform_shift,unbalanced_ot_hpa,HPA-weighted unbalanced OT,67,0.0502042422794738,0.0487388206837633,0.0516811255142394,1.119700309921998e-12,2.7992507748049957e-12
