feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,penalizer,n,events,error,fdr_bh,internal_log_hr,internal_fdr_bh,direction_concordant
PTGDS,external_gene,0.2045047379757614,1.2269172689362693,0.911658599231481,1.651194850882785,0.1771462423112071,0.05,60,33,,0.950704151016686,-0.3051351121402313,0.9172562174922776,False
XCL1,external_gene,0.0144644385985891,1.0145695547946747,0.7579428605220176,1.358085728002398,0.922553625558139,0.05,60,33,,0.950704151016686,0.273334129342844,0.9172562174922776,True
VPREB3,external_gene,0.2858593181409919,1.330905207862639,1.0299101528269925,1.7198671820583995,0.0288697673960261,0.05,60,33,,0.8701829249673787,-0.2783050990445427,0.9172562174922776,False
MMP12,external_gene,-0.1154899837451783,0.8909294959692466,0.702770083315464,1.1294666429784683,0.3400120952349511,0.05,60,33,,0.950704151016686,0.2552619510038301,0.9172562174922776,False
C5AR1,external_gene,-0.0624746598019023,0.939436868028196,0.7129525816763108,1.2378686208493332,0.657137696921987,0.05,60,33,,0.950704151016686,0.1906295618681709,0.9172562174922776,False
CPVL,external_gene,-0.1156238497389298,0.8908102387893246,0.6646130848258962,1.1939922635434903,0.4391457047191457,0.05,60,33,,0.950704151016686,0.1718101394565169,0.9172562174922776,False
IDO1,external_gene,-0.2579042708930716,0.772669195498683,0.6051982039869782,0.986482910457262,0.0385319761452155,0.05,60,33,,0.8701829249673787,0.1839663541789002,0.9172562174922776,False
MAOB,external_gene,-0.1133580586357678,0.8928309170559172,0.6898894290609725,1.1554707361380054,0.388906673653111,0.05,60,33,,0.950704151016686,-0.1931641971821622,0.9172562174922776,True
TREM2,external_gene,-0.0109889364968232,0.9890712213074362,0.7261491554059115,1.3471913773303816,0.944432802409728,0.05,60,33,,0.950704151016686,0.1717833306005409,0.9172562174922776,False
MS4A7,external_gene,0.1443812648945177,1.1553245092420623,0.8573403995526621,1.556878367509408,0.3428014551891769,0.05,60,33,,0.950704151016686,0.1533471842699475,0.9172562174922776,True
CD5,external_gene,-0.0371675627985459,0.9635146726068748,0.7257996658095409,1.2790864587864754,0.7970821317542955,0.05,60,33,,0.950704151016686,0.1618924857968971,0.9172562174922776,False
CALD1,external_gene,-0.037954866143124,0.9627563928198556,0.727487287554972,1.2741114350337837,0.7906351999546527,0.05,60,33,,0.950704151016686,0.1464267793489925,0.9172562174922776,False
TNFRSF13C,external_gene,-0.0095554058284802,0.9904901019978636,0.7316221845120129,1.340952561204942,0.950704151016686,0.05,60,33,,0.950704151016686,-0.1843181845354087,0.9172562174922776,True
BLNK,external_gene,-0.1173951038791656,0.8892337840288718,0.6273839918333025,1.2603712127682194,0.509472321847332,0.05,60,33,,0.950704151016686,-0.1534464294590943,0.9172562174922776,True
GZMA,external_gene,0.0892844583409384,1.0933916364646907,0.8664448793342883,1.3797822564425235,0.4519267110562351,0.05,60,33,,0.950704151016686,0.1477814872250743,0.9172562174922776,True
CD96,external_gene,0.1046578580578682,1.1103306546734255,0.8701918600795252,1.4167383300906211,0.3999470992317143,0.05,60,33,,0.950704151016686,0.1495930304994372,0.9172562174922776,True
LY6D,external_gene,-0.0782028300705061,0.924776834968937,0.7150797074908078,1.1959676460349815,0.5511536545458904,0.05,60,33,,0.950704151016686,-0.2007048694198846,0.9172562174922776,True
TREM1,external_gene,-0.131453413286472,0.8768201223541763,0.6706079975878361,1.1464425263799418,0.3365832670264958,0.05,60,33,,0.950704151016686,0.1466960497224213,0.9172562174922776,False
GATA2,external_gene,0.2348391630903039,1.2647053410752578,0.9086439964028664,1.7602929266866814,0.1639004776699935,0.05,60,33,,0.950704151016686,-0.1368779619504599,0.9172562174922776,False
CCL19,external_gene,0.0605301870687855,1.0623996678181191,0.8004577322695582,1.4100595305386558,0.6751713204627806,0.05,60,33,,0.950704151016686,-0.1408699418560176,0.9172562174922776,False
PLA2G7,external_gene,-0.061104779969213,0.9407246655103056,0.6880095930151408,1.2862653446752177,0.7018560643826971,0.05,60,33,,0.950704151016686,0.1260967584634228,0.925882196077601,False
CD247,external_gene,0.0133032070372465,1.0133920883943568,0.7875401630651336,1.304014160780446,0.9176388863286336,0.05,60,33,,0.950704151016686,0.1416269759212509,0.925882196077601,True
PILRA,external_gene,0.0583766947486293,1.060114259979871,0.7891749174771068,1.4240724322631186,0.6982658976316238,0.05,60,33,,0.950704151016686,0.1135909460800329,0.925882196077601,True
