feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,penalizer,n,events,error,fdr_bh
pathway__REACTOME_NEUTROPHIL_DEGRANULATION,external_pathway,-0.2570409121335025,0.773336574269065,0.5531377773545972,1.0811943815560885,0.1327430873419398,0.05,60,33,,0.9334169449272696
pathway__REACTOME_SARS_COV_INFECTIONS,external_pathway,0.0648397648113464,1.0669880416556878,0.7682848383725528,1.481824740219827,0.6988025212913305,0.05,60,33,,0.9334169449272696
pathway__REACTOME_GPCR_LIGAND_BINDING,external_pathway,-0.179564032128536,0.835634441778038,0.6163721510519985,1.1328949873771703,0.2475177364498876,0.05,60,33,,0.9334169449272696
pathway__REACTOME_SIGNALING_BY_INTERLEUKINS,external_pathway,-0.2128453093841909,0.8082811610567824,0.608454703319471,1.0737338897292956,0.1418409044418023,0.05,60,33,,0.9334169449272696
pathway__REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,external_pathway,-0.2036084308477521,0.8157817436207843,0.5942330753728305,1.119930681757192,0.2078943937302204,0.05,60,33,,0.9334169449272696
pathway__REACTOME_RHO_GTPASE_CYCLE,external_pathway,-0.1358280224375625,0.8729927547455062,0.6363616031073012,1.1976152334094268,0.3997683682016354,0.05,60,33,,0.9334169449272696
pathway__REACTOME_OLFACTORY_SIGNALING_PATHWAY,external_pathway,0.0802975926129386,1.083609493877439,0.8153442907646279,1.4401395196134246,0.5800618355003189,0.05,60,33,,0.9334169449272696
pathway__REACTOME_NEURONAL_SYSTEM,external_pathway,-0.020070741981602,0.9801293345628508,0.7282447259522545,1.3191355573697618,0.8946443296260715,0.05,60,33,,0.9334169449272696
pathway__REACTOME_M_PHASE,external_pathway,-0.0313055730239759,0.9691793727512096,0.7005802484719426,1.340758119594698,0.850045515441834,0.05,60,33,,0.9334169449272696
pathway__REACTOME_DENGUE_VIRUS_INFECTION,external_pathway,0.110643474507103,1.1169965980923644,0.8467207234068944,1.4735453682173996,0.4337449198231023,0.05,60,33,,0.9334169449272696
pathway__REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,external_pathway,-0.2246839286501418,0.7987686467490501,0.5846756390559049,1.0912569438664472,0.1581307841054154,0.05,60,33,,0.9334169449272696
pathway__REACTOME_TRANSLATION,external_pathway,0.0324433188049791,1.0329753412078246,0.7220829086849895,1.477722353914514,0.8590447511468537,0.05,60,33,,0.9334169449272696
pathway__REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,external_pathway,-0.1024798876514037,0.9025963029018592,0.6369253647012351,1.279082497200045,0.5645180636363695,0.05,60,33,,0.9334169449272696
pathway__REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,external_pathway,-0.1102444443719881,0.8956151804461508,0.6402032594851291,1.25292481655074,0.5198301052938692,0.05,60,33,,0.9334169449272696
pathway__REACTOME_CELL_CELL_COMMUNICATION,external_pathway,-0.0173184546195979,0.9828306478334624,0.6546847985774256,1.4754521327204846,0.9334169449272698,0.05,60,33,,0.9334169449272696
pathway__REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,external_pathway,-0.1461748154909023,0.8640066482353007,0.6333922754176605,1.178586347145692,0.3561505270452816,0.05,60,33,,0.9334169449272696
pathway__REACTOME_DNA_REPAIR,external_pathway,-0.093338116509476,0.9108854628095776,0.6302985712474443,1.3163798304598853,0.619318803343703,0.05,60,33,,0.9334169449272696
pathway__REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,external_pathway,0.0541432165845211,1.0556357758798494,0.7489253950970463,1.4879544726521807,0.7572069905222254,0.05,60,33,,0.9334169449272696
pathway__REACTOME_RHO_GTPASE_EFFECTORS,external_pathway,-0.0550774736976088,0.9464118230897508,0.69651497078007,1.285967102589226,0.7247631519092905,0.05,60,33,,0.9334169449272696
pathway__REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,external_pathway,0.0290738682559708,1.029500639083185,0.745791269453094,1.421136998090517,0.8596987434178404,0.05,60,33,,0.9334169449272696
pathway__REACTOME_SIGNALING_BY_WNT,external_pathway,0.1283296787092978,1.1369277617956917,0.8246560336892714,1.5674471327870156,0.4334704180055456,0.05,60,33,,0.9334169449272696
pathway__REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,external_pathway,-0.0695731980077569,0.9327918523803236,0.6968511335038613,1.248617671743077,0.6400608590260286,0.05,60,33,,0.9334169449272696
pathway__REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,external_pathway,-0.1091438681864933,0.8966014157991393,0.6374302946786967,1.2611482471479212,0.5306464257254617,0.05,60,33,,0.9334169449272696
pathway__REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,external_pathway,-0.160293125674067,0.8518940403493227,0.6357484307243689,1.1415261460508954,0.2830482431242964,0.05,60,33,,0.9334169449272696
