model,horizon_days,risk_group,tcga_cutpoint_low,tcga_cutpoint_high,patients,events_total_followup,mean_predicted_risk,km_observed_risk,km_ci95_low,km_ci95_high
elastic_net_cox,365,low,0.1851014480148673,0.2793597868255761,24,9,0.1638211931338585,0.1666666666666668,0.0660530872392071,0.3851882421843742
elastic_net_cox,365,intermediate,0.1851014480148673,0.2793597868255761,15,11,0.2149935490444939,0.4666666666666668,0.2562335826977462,0.7367983815212
elastic_net_cox,365,high,0.1851014480148673,0.2793597868255761,21,13,0.3224542034594183,0.1904761904761904,0.0761111714407051,0.4310949400758275
elastic_net_cox,1095,low,0.5051780173821663,0.670884949476906,25,9,0.4572875477933701,0.24,0.1157223621584648,0.4579518775332473
elastic_net_cox,1095,intermediate,0.5051780173821663,0.670884949476906,14,11,0.5628757942978613,0.7857142857142856,0.5521368399843745,0.9478769318836076
elastic_net_cox,1095,high,0.5051780173821663,0.670884949476906,21,13,0.733150629595162,0.4761904761904761,0.2911878008412675,0.7032612049521241
survivalpfn,365,low,0.1418689628442128,0.2857631882031758,29,12,0.1052413171735303,0.206896551724138,0.0987322000885387,0.4036264942493092
survivalpfn,365,intermediate,0.1418689628442128,0.2857631882031758,11,6,0.206431204622442,0.1818181818181817,0.0488377714175082,0.5525713853178189
survivalpfn,365,high,0.1418689628442128,0.2857631882031758,20,15,0.3708274021744728,0.3499999999999998,0.1846950950219886,0.5969988004454787
survivalpfn,1095,low,0.4490435620148976,0.6540026028951009,27,10,0.3784533650786788,0.2592592592592594,0.1329619546785412,0.4680765065054157
survivalpfn,1095,intermediate,0.4490435620148976,0.6540026028951009,14,9,0.547146452324731,0.6428571428571428,0.405649925877498,0.869653783749306
survivalpfn,1095,high,0.4490435620148976,0.6540026028951009,19,14,0.7266226246168739,0.5789473684210527,0.3751287539360931,0.7963288980273766
survpfn,365,low,0.1959589560826619,0.3321389337380726,31,14,0.1718842925563935,0.1935483870967743,0.0919828622625866,0.3809390834655382
survpfn,365,intermediate,0.1959589560826619,0.3321389337380726,12,7,0.2677206844091415,0.4166666666666667,0.1990598076666132,0.7298610759145028
survpfn,365,high,0.1959589560826619,0.3321389337380726,17,12,0.3740226766642402,0.2352941176470588,0.0955141051908013,0.5117218870456705
survpfn,1095,low,0.4046358307202657,0.5939867993195852,32,15,0.3612081129103899,0.3750000000000001,0.233200070649158,0.564794052238136
survpfn,1095,intermediate,0.4046358307202657,0.5939867993195852,11,6,0.5174568512222983,0.5454545454545456,0.2931244950977385,0.8333825058763397
survpfn,1095,high,0.4046358307202657,0.5939867993195852,17,12,0.6413099204792696,0.5294117647058825,0.3203224072993524,0.7704023441540514
