state,gene,donors,baseline_specificity_effect,bootstrap_selection_frequency,bootstrap_effect_mean,bootstrap_effect_sd,bootstrap_effect_ci95_low,bootstrap_effect_ci95_high,hpa_evidence,hpa_weight,prominence_score,stable_marker,state_rank
B,VPREB3,60,0.9028289253431536,1.0,0.8108638936281204,0.0053438627387631,0.7990127205848694,0.820521891117096,Evidence at protein level,1.15,1.0382532641446267,True,1
B,CD19,60,0.8941873116839638,1.0,0.7722718614339829,0.0065681589468346,0.758991539478302,0.7835904359817505,Evidence at protein level,1.15,1.0283154084365582,True,2
B,BANK1,60,0.8691412788751255,1.0,0.6903064181804657,0.0215791359345377,0.6438469886779785,0.7274771332740784,Evidence at protein level,1.15,0.9995124707063944,True,3
CD4Tconv,GZMK,60,0.8818212253096753,1.0,0.7715158680677414,0.0118837443169382,0.7415682077407837,0.7881743907928467,Evidence at protein level,1.15,1.0140944091061266,True,1
CD4Tconv,GZMM,60,0.8571099765651156,1.0,0.7322436535358429,0.0145228191452494,0.6843221187591553,0.762671947479248,Evidence at protein level,1.15,0.9856764730498828,True,2
CD4Tconv,CD247,60,0.8455599263475059,1.0,0.6972771508693695,0.0078885741423823,0.6821888089179993,0.7100713849067688,Evidence at protein level,1.15,0.9723939152996316,True,3
CD8Tex,CD8B,60,0.8866755942417142,1.0,0.765823694229126,0.0118314351640008,0.7379099130630493,0.7847320437431335,Evidence at protein level,1.15,1.0196769333779712,True,1
CD8Tex,GZMK,60,0.8861734181452963,1.0,0.7665511289834976,0.0121257366749437,0.7378349900245667,0.7845557332038879,Evidence at protein level,1.15,1.0190994308670906,True,2
CD8Tex,XCL1,60,0.8773225644459324,1.0,0.7388811700344086,0.0119102771393888,0.7008110284805298,0.7535260915756226,Evidence at protein level,1.15,1.0089209491128222,True,3
DC,CCL19,67,0.8916764312018748,1.0,0.7454520435333252,0.0043941894898701,0.736777126789093,0.754231333732605,Evidence at protein level,1.15,1.025427895882156,True,1
DC,CSF2RA,67,0.8900652828925344,1.0,0.7613864597082138,0.0052876845004746,0.7507889866828918,0.7716017365455627,Evidence at protein level,1.15,1.0235750753264146,True,2
DC,CPVL,67,0.8742048878473384,1.0,0.7218980971574783,0.0071784080644357,0.7052097916603088,0.7333436012268066,Evidence at protein level,1.15,1.005335621024439,True,3
Endothelial,SPARCL1,60,0.9118890190826916,1.0,0.7539749649763108,0.0037961093840058,0.7462887763977051,0.7611160278320312,Evidence at protein level,1.15,1.0486723719450952,True,1
Endothelial,MGP,60,0.90996401071309,1.0,0.7506442182064056,0.0066121294153664,0.7312191724777222,0.7592604160308838,Evidence at protein level,1.15,1.0464586123200534,True,2
Endothelial,PLVAP,60,0.9090642785403416,1.0,0.7431431591510773,0.0085146294200205,0.7284908294677734,0.7595204710960388,Evidence at protein level,1.15,1.0454239203213926,True,3
Fibroblasts,COL1A2,60,0.9043563776364244,1.0,0.7527581100463867,0.0059016866691312,0.7327706217765808,0.7612835168838501,Evidence at protein level,1.15,1.0400098342818882,True,1
Fibroblasts,COL3A1,60,0.9029335453632408,1.0,0.7443533148765564,0.010179070234003,0.7252247929573059,0.7582951188087463,Evidence at protein level,1.15,1.0383735771677267,True,2
Fibroblasts,LUM,60,0.9017618011382658,1.0,0.7506875882148742,0.0036980665470605,0.7436530590057373,0.7574048042297363,Evidence at protein level,1.15,1.0370260713090056,True,3
Malignant,KRT15,60,0.9120354871108136,1.0,0.7608314512968063,0.0110132979557648,0.7416211366653442,0.7768908739089966,Evidence at protein level,1.15,1.0488408101774356,True,1
Malignant,CLDN4,60,0.9092735185805156,1.0,0.7643437950611115,0.0074488853384569,0.7454822063446045,0.7779486775398254,Evidence at protein level,1.15,1.0456645463675929,True,2
Malignant,S100A7,60,0.9077669902912622,1.0,0.7668321565389633,0.0138553130162922,0.7333083748817444,0.7889721393585205,Evidence at protein level,1.15,1.0439320388349511,True,3
Mast,TPSAB1,66,0.9176640441914964,1.0,0.7696114234924316,0.0172350704775563,0.7328367233276367,0.7954028844833374,Evidence at protein level,1.15,1.055313650820221,True,1
Mast,GATA2,66,0.9132281553398058,1.0,0.7485624108314514,0.010719650639066,0.7299012541770935,0.7664139866828918,Evidence at protein level,1.15,1.0502123786407769,True,2
Mast,SLC18A2,66,0.9117634750585872,1.0,0.7923021854162217,0.0090024624320556,0.7731708288192749,0.8075678944587708,Evidence at protein level,1.15,1.0485279963173753,True,3
Mono/Macro,MMP12,67,0.9015316370940742,1.0,0.7538363888263703,0.0065978296375438,0.7407395839691162,0.7661362886428833,Evidence at protein level,1.15,1.0367613826581854,True,1
Mono/Macro,OLR1,67,0.8914253431536658,1.0,0.7582256704568863,0.0080221682313223,0.7421500086784363,0.7712491154670715,Evidence at protein level,1.15,1.0251391446267155,True,2
Mono/Macro,C5AR1,67,0.8901699029126214,1.0,0.7318057116270066,0.0102403662875049,0.7105914950370789,0.7535437345504761,Evidence at protein level,1.15,1.0236953883495146,True,3
Pericytes,COL1A2,59,0.9140651155005022,1.0,0.749439351439476,0.005956688398853,0.7292798161506653,0.7578499913215637,Evidence at protein level,1.15,1.0511748828255774,True,1
Pericytes,SPARCL1,59,0.9138977234683628,1.0,0.7501371656656265,0.0038696816342202,0.7424188852310181,0.7575811147689819,Evidence at protein level,1.15,1.0509823819886173,True,2
Pericytes,BGN,59,0.9137303314362236,1.0,0.7480610008239746,0.0070339384334688,0.728045642375946,0.7571447491645813,Evidence at protein level,1.15,1.0507898811516572,True,3
Plasma,IGHV4-34,60,0.9061139939738868,1.0,0.7403787026405334,0.021613827310834,0.6940850019454956,0.773624837398529,Evidence at protein level,1.15,1.0420310930699697,True,1
Plasma,IGHV3-7,60,0.9014479410780049,1.0,0.7373011285066604,0.019305284209583,0.6953367590904236,0.7742639780044556,Evidence at protein level,1.15,1.0366651322397054,True,2
Plasma,DNAAF1,60,0.8977862403749581,1.0,0.7663952741622925,0.0083412966170363,0.7518291473388672,0.7850934267044067,Evidence at protein level,1.15,1.032454176431202,True,3
Tprolif,GZMA,60,0.8734306996986944,1.0,0.6959788429737092,0.0365548011517013,0.6080747246742249,0.7349303364753723,Evidence at protein level,1.15,1.0044453046534985,True,1
Tprolif,CD8B,60,0.8536156678942082,1.0,0.7429139629602433,0.0157604767392539,0.708652138710022,0.7679081559181213,Evidence at protein level,1.15,0.9816580180783392,True,2
Tprolif,CD247,60,0.8369392366923334,1.0,0.6851488007307053,0.0081489005487755,0.6701340079307556,0.6992242336273193,Evidence at protein level,1.15,0.9624801221961832,True,3
Treg,CTLA4,60,0.8658980582524273,1.0,0.6916819462776184,0.0254525901306505,0.6145054697990417,0.7258551120758057,Evidence at protein level,1.15,0.9957827669902912,True,1
Treg,CD247,60,0.849661031134918,1.0,0.6946875863075256,0.0079087077941033,0.6794252395629883,0.7072505354881287,Evidence at protein level,1.15,0.9771101858051556,True,2
Treg,ICOS,60,0.8804402410445263,0.964,0.6995740478634834,0.0653517775282165,0.5111424326896667,0.7604019641876221,Evidence at protein level,1.15,0.9760560512219618,True,3
