Feature,Family,Log hazard ratio per sd,Hazard ratio per sd,Ci95 low,Ci95 high,P value,N,Events,Error,Fdr bh,Valid training splits,Split log hr median,Split log hr q25,Split log hr q75,Direction consistency,Gene,State,State rank,Prominence score,Bootstrap selection frequency,Stable marker,Hpa evidence
PTGDS,gene,-0.3051,0.737,0.5711,0.9512,0.0191,182,77,,0.9173,50,-0.3034,-0.3543,-0.2592,1.0,PTGDS,Fibroblasts,7,1.0218,1.0,True,Evidence at protein level
XCL1,gene,0.2733,1.3143,0.9999,1.7277,0.0501,182,77,,0.9173,50,0.2618,0.1961,0.3319,1.0,XCL1,CD8Tex,3,1.0089,1.0,True,Evidence at protein level
VPREB3,gene,-0.2783,0.7571,0.5688,1.0076,0.0564,182,77,,0.9173,50,-0.2843,-0.344,-0.2211,1.0,VPREB3,B,1,1.0383,1.0,True,Evidence at protein level
MMP12,gene,0.2553,1.2908,0.9903,1.6824,0.059,182,77,,0.9173,50,0.2729,0.2209,0.357,1.0,MMP12,Mono/Macro,1,1.0368,1.0,True,Evidence at protein level
C5AR1,gene,0.1906,1.21,0.9916,1.4765,0.0605,182,77,,0.9173,50,0.2007,0.1537,0.2516,1.0,C5AR1,Mono/Macro,3,1.0237,1.0,True,Evidence at protein level
CPVL,gene,0.1718,1.1875,0.9586,1.4709,0.1157,182,77,,0.9173,50,0.1708,0.1243,0.2096,1.0,CPVL,DC,3,1.0053,1.0,True,Evidence at protein level
IDO1,gene,0.184,1.202,0.9536,1.515,0.1193,182,77,,0.9173,50,0.1966,0.136,0.2274,1.0,IDO1,DC,8,0.9512,0.984,True,Evidence at protein level
MAOB,gene,-0.1932,0.8243,0.6355,1.0693,0.1457,182,77,,0.9173,50,-0.2142,-0.2496,-0.1564,1.0,MAOB,Mast,9,1.005,1.0,True,Evidence at protein level
TREM2,gene,0.1718,1.1874,0.9388,1.5019,0.1518,182,77,,0.9173,50,0.1791,0.1196,0.2305,1.0,TREM2,Mono/Macro,6,1.0114,1.0,True,Evidence at protein level
ICOS,gene,0.1668,1.1815,0.9344,1.494,0.1636,182,77,,0.9173,50,0.1523,0.1214,0.2253,1.0,ICOS,Treg,3,0.9761,0.964,True,Evidence at protein level
LGALS7B,gene,-0.2053,0.8144,0.6098,1.0876,0.1642,182,77,,0.9173,50,-0.1998,-0.2531,-0.1347,0.98,LGALS7B,Malignant,10,1.0187,1.0,True,Evidence at protein level
MS4A7,gene,0.1533,1.1657,0.9376,1.4494,0.1675,182,77,,0.9173,50,0.1595,0.1001,0.2045,1.0,MS4A7,DC,6,0.9623,0.996,True,Evidence at protein level
CFP,gene,0.177,1.1936,0.9229,1.5436,0.1774,182,77,,0.9173,50,0.1683,0.1056,0.2219,1.0,CFP,DC,5,0.9737,1.0,True,Evidence at protein level
CD5,gene,0.1619,1.1757,0.9289,1.4882,0.1782,182,77,,0.9173,50,0.152,0.1281,0.1991,1.0,CD5,CD4Tconv,6,0.9613,1.0,True,Evidence at protein level
CALD1,gene,0.1464,1.1577,0.9347,1.434,0.1799,182,77,,0.9173,50,0.1401,0.1043,0.1791,0.98,CALD1,Pericytes,7,1.0394,1.0,True,Evidence at protein level
TNFRSF13C,gene,-0.1843,0.8317,0.6313,1.0956,0.1899,182,77,,0.9173,50,-0.2021,-0.2649,-0.1234,0.98,TNFRSF13C,B,6,0.9597,1.0,True,Evidence at protein level
BLNK,gene,-0.1534,0.8577,0.6794,1.0829,0.1969,182,77,,0.9173,50,-0.1558,-0.1901,-0.1081,0.98,BLNK,B,8,0.9296,1.0,True,Evidence at protein level
GZMA,gene,0.1478,1.1593,0.9222,1.4573,0.2055,182,77,,0.9173,50,0.161,0.0966,0.1937,0.98,GZMA,CD8Tex,4,1.0062,1.0,True,Evidence at protein level
CD96,gene,0.1496,1.1614,0.9209,1.4646,0.2063,182,77,,0.9173,50,0.1532,0.1037,0.197,1.0,CD96,CD8Tex,8,0.9651,1.0,True,Evidence at protein level
LY6D,gene,-0.2007,0.8182,0.5986,1.1181,0.2079,182,77,,0.9173,50,-0.2078,-0.2816,-0.123,0.86,LY6D,Malignant,4,1.041,1.0,True,Evidence at protein level
TREM1,gene,0.1467,1.158,0.917,1.4624,0.2179,182,77,,0.9173,50,0.1592,0.108,0.2023,0.96,TREM1,Mono/Macro,9,0.9989,1.0,True,Evidence at protein level
GATA2,gene,-0.1369,0.8721,0.6994,1.0874,0.2241,182,77,,0.9173,50,-0.1377,-0.1724,-0.0861,1.0,GATA2,Mast,2,1.0502,1.0,True,Evidence at protein level
CCL19,gene,-0.1409,0.8686,0.6904,1.0929,0.2293,182,77,,0.9173,50,-0.127,-0.1787,-0.1004,1.0,CCL19,DC,1,1.0254,1.0,True,Evidence at protein level
PLA2G7,gene,0.1261,1.1344,0.9123,1.4105,0.2566,182,77,,0.9259,50,0.1419,0.0844,0.1807,1.0,PLA2G7,Mono/Macro,8,0.9999,1.0,True,Evidence at protein level
CD247,gene,0.1416,1.1521,0.8997,1.4754,0.2617,182,77,,0.9259,50,0.1445,0.0929,0.1934,0.96,CD247,CD8Tex,7,0.9776,1.0,True,Evidence at protein level
PILRA,gene,0.1136,1.1203,0.9178,1.3675,0.2642,182,77,,0.9259,50,0.1236,0.0714,0.1631,0.98,PILRA,Mono/Macro,10,0.9966,1.0,True,Evidence at protein level
PLVAP,gene,0.1707,1.1862,0.8748,1.6083,0.2717,182,77,,0.9259,50,0.1713,0.1261,0.2043,0.96,PLVAP,Endothelial,3,1.0454,1.0,True,Evidence at protein level
KRT15,gene,-0.1598,0.8523,0.6331,1.1474,0.292,182,77,,0.9541,50,-0.1712,-0.2203,-0.0837,0.86,KRT15,Malignant,1,1.0488,1.0,True,Evidence at protein level
ITK,gene,0.1253,1.1335,0.8892,1.4449,0.3116,182,77,,0.9541,50,0.1102,0.0749,0.184,1.0,ITK,CD4Tconv,4,0.9673,1.0,True,Evidence at protein level
HCK,gene,0.1153,1.1222,0.8949,1.4071,0.3181,182,77,,0.9541,50,0.1249,0.0765,0.1701,0.96,HCK,DC,7,0.9546,0.99,True,Evidence at protein level
SLPI,gene,-0.1141,0.8922,0.7115,1.1188,0.3232,182,77,,0.9541,50,-0.1138,-0.1548,-0.0491,0.94,SLPI,Malignant,6,1.0306,1.0,True,Evidence at protein level
CD6,gene,0.1173,1.1245,0.8806,1.4359,0.3469,182,77,,0.9541,50,0.1042,0.0736,0.1815,0.96,CD6,CD4Tconv,7,0.9578,1.0,True,Evidence at protein level
CD19,gene,-0.1316,0.8767,0.6645,1.1566,0.3518,182,77,,0.9541,50,-0.1416,-0.2032,-0.0756,1.0,CD19,B,2,1.0283,1.0,True,Evidence at protein level
MGP,gene,-0.0972,0.9073,0.7354,1.1195,0.3644,182,77,,0.9541,50,-0.1045,-0.1283,-0.081,0.98,MGP,Pericytes,5,1.05,1.0,True,Evidence at protein level
DNAAF1,gene,0.1215,1.1292,0.8636,1.4764,0.3746,182,77,,0.9541,50,0.1219,0.0876,0.17,0.94,DNAAF1,Plasma,3,1.0325,1.0,True,Evidence at protein level
RAB27B,gene,-0.0873,0.9164,0.7533,1.1148,0.3824,182,77,,0.9541,50,-0.072,-0.135,-0.0183,0.86,RAB27B,Mast,10,0.9987,0.996,True,Evidence at protein level
S100B,gene,0.1098,1.116,0.8718,1.4287,0.3837,182,77,,0.9541,50,0.1177,0.0647,0.1737,0.9,S100B,DC,4,0.995,1.0,True,Evidence at protein level
KRT6B,gene,-0.1195,0.8874,0.6686,1.1779,0.4083,182,77,,0.9865,50,-0.1182,-0.1792,-0.0543,0.84,KRT6B,Malignant,5,1.0312,1.0,True,Evidence at protein level
KIT,gene,-0.0956,0.9088,0.7109,1.1618,0.4453,182,77,,0.9865,50,-0.0845,-0.1305,-0.053,0.94,KIT,Mast,5,1.0238,1.0,True,Evidence at protein level
CSF2RA,gene,0.0833,1.0869,0.8721,1.3546,0.4582,182,77,,0.9865,50,0.0905,0.0468,0.1388,0.92,CSF2RA,DC,2,1.0236,1.0,True,Evidence at protein level
MMP19,gene,0.0807,1.0841,0.8718,1.348,0.4677,182,77,,0.9865,50,0.0778,0.048,0.128,0.9,MMP19,Mono/Macro,5,1.014,1.0,True,Evidence at protein level
NTRK1,gene,-0.0776,0.9253,0.7483,1.1442,0.4735,182,77,,0.9865,50,-0.0826,-0.1159,-0.0461,0.88,NTRK1,Mast,7,1.013,1.0,True,Evidence at protein level
IGHV3-7,gene,0.0814,1.0848,0.8648,1.3608,0.4815,182,77,,0.9865,50,0.0756,0.0299,0.1296,0.9,IGHV3-7,Plasma,2,1.0367,1.0,True,Evidence at protein level
GZMK,gene,-0.0818,0.9215,0.7225,1.1751,0.5098,182,77,,0.9865,50,-0.0772,-0.119,-0.0437,0.88,GZMK,CD8Tex,2,1.0191,1.0,True,Evidence at protein level
LUM,gene,0.0668,1.069,0.8737,1.308,0.5166,182,77,,0.9865,50,0.0572,0.0186,0.1062,0.84,LUM,Pericytes,8,1.0377,1.0,True,Evidence at protein level
COL4A2,gene,0.0818,1.0852,0.8438,1.3957,0.5242,182,77,,0.9865,50,0.0849,0.047,0.1283,0.94,COL4A2,Pericytes,9,1.03,1.0,True,Evidence at protein level
CD22,gene,-0.0732,0.9295,0.7392,1.1686,0.5312,182,77,,0.9865,50,-0.069,-0.1238,-0.018,0.84,CD22,B,4,0.9725,1.0,True,Evidence at protein level
GPX2,gene,-0.0839,0.9195,0.6967,1.2136,0.5533,182,77,,0.9865,50,-0.0658,-0.1253,-0.0303,0.88,GPX2,Malignant,7,1.0274,1.0,True,Evidence at protein level
IL1RL1,gene,0.0832,1.0868,0.8244,1.4326,0.555,182,77,,0.9865,50,0.0861,0.0435,0.1286,0.88,IL1RL1,Mast,4,1.0436,1.0,True,Evidence at protein level
IGFBP5,gene,0.0611,1.0631,0.8545,1.3225,0.5831,182,77,,0.9865,50,0.0567,0.0139,0.0987,0.8,IGFBP5,Endothelial,7,1.026,1.0,True,Evidence at protein level
CSF1R,gene,0.0583,1.06,0.8555,1.3134,0.5941,182,77,,0.9865,50,0.0607,0.0145,0.1075,0.86,CSF1R,Mono/Macro,4,1.0181,1.0,True,Evidence at protein level
IGLV6-57,gene,0.0569,1.0586,0.8488,1.3201,0.6135,182,77,,0.9865,50,0.0534,0.0068,0.0912,0.8,IGLV6-57,Plasma,7,1.0094,1.0,True,Evidence at protein level
RARRES2,gene,-0.0538,0.9476,0.7655,1.1731,0.6212,182,77,,0.9865,50,-0.0642,-0.0912,-0.0166,0.82,RARRES2,Fibroblasts,6,1.0266,1.0,True,Evidence at protein level
GZMM,gene,0.0615,1.0635,0.8327,1.3582,0.622,182,77,,0.9865,50,0.0645,0.0159,0.1032,0.82,GZMM,CD4Tconv,2,0.9857,1.0,True,Evidence at protein level
JSRP1,gene,0.0599,1.0618,0.8182,1.3778,0.6522,182,77,,0.9865,50,0.0653,-0.0109,0.1212,0.68,JSRP1,Plasma,5,1.0288,1.0,True,Evidence at protein level
ZAP70,gene,0.0545,1.056,0.8318,1.3407,0.6543,182,77,,0.9865,50,0.0458,0.0038,0.1122,0.78,ZAP70,CD4Tconv,10,0.9506,1.0,True,Evidence at protein level
GNG11,gene,-0.0477,0.9534,0.771,1.179,0.6599,182,77,,0.9865,50,-0.0598,-0.0832,0.0015,0.74,GNG11,Endothelial,10,1.017,1.0,True,Evidence at protein level
MEF2B,gene,0.0546,1.0562,0.8257,1.351,0.6636,182,77,,0.9865,50,0.0489,0.0085,0.1022,0.8,MEF2B,Plasma,9,0.9871,1.0,True,Evidence at protein level
FXYD3,gene,-0.0546,0.9468,0.7328,1.2234,0.6761,182,77,,0.9865,50,-0.0439,-0.1189,0.0115,0.7,FXYD3,Malignant,9,1.0249,1.0,True,Evidence at protein level
CTLA4,gene,0.0507,1.052,0.8232,1.3444,0.6852,182,77,,0.9865,50,0.0429,0.0084,0.0888,0.8,CTLA4,Treg,1,0.9958,1.0,True,Evidence at protein level
KLRD1,gene,-0.0433,0.9576,0.7757,1.1823,0.6871,182,77,,0.9865,50,-0.0379,-0.0947,-0.004,0.78,KLRD1,CD8Tex,5,1.0055,1.0,True,Evidence at protein level
CD8B,gene,0.0442,1.0452,0.8212,1.3303,0.7193,182,77,,0.9865,50,0.0474,-0.0061,0.0948,0.72,CD8B,CD8Tex,1,1.0197,1.0,True,Evidence at protein level
TPSAB1,gene,-0.0418,0.959,0.7623,1.2066,0.721,182,77,,0.9865,50,-0.0498,-0.0713,0.0077,0.68,TPSAB1,Mast,1,1.0553,1.0,True,Evidence at protein level
RASSF6,gene,0.0537,1.0552,0.7671,1.4515,0.7413,182,77,,0.9865,50,0.0339,-0.0263,0.1023,0.58,RASSF6,Plasma,8,1.0045,1.0,True,Evidence at protein level
COL3A1,gene,0.0326,1.0331,0.8413,1.2686,0.756,182,77,,0.9865,50,0.0368,-0.0127,0.0696,0.68,COL3A1,Pericytes,4,1.0503,1.0,True,Evidence at protein level
CD24,gene,0.0369,1.0376,0.8032,1.3404,0.7777,182,77,,0.9865,50,0.0368,-0.0086,0.1082,0.7,CD24,B,7,0.9543,1.0,True,Evidence at protein level
BTK,gene,0.03,1.0304,0.829,1.2808,0.7869,182,77,,0.9865,50,0.0167,-0.0207,0.078,0.62,BTK,Mast,8,1.0083,0.998,True,Evidence at protein level
S100A7,gene,-0.0375,0.9632,0.7314,1.2684,0.7895,182,77,,0.9865,50,-0.0476,-0.0847,0.0147,0.66,S100A7,Malignant,3,1.0439,1.0,True,Evidence at protein level
RGS5,gene,-0.0353,0.9653,0.7317,1.2733,0.8025,182,77,,0.9865,50,-0.0381,-0.0797,0.0033,0.7,RGS5,Pericytes,6,1.044,1.0,True,Evidence at protein level
COL1A2,gene,0.0248,1.0251,0.8303,1.2657,0.8174,182,77,,0.9865,50,0.0262,-0.022,0.0625,0.68,COL1A2,Pericytes,1,1.0512,1.0,True,Evidence at protein level
IGHG4,gene,-0.0254,0.9749,0.7827,1.2143,0.8205,182,77,,0.9865,50,-0.0313,-0.0634,0.0264,0.64,IGHG4,Plasma,4,1.0305,1.0,True,Evidence at protein level
SLC18A2,gene,-0.0296,0.9709,0.7517,1.254,0.8208,182,77,,0.9865,50,-0.0311,-0.0768,0.0097,0.7,SLC18A2,Mast,3,1.0485,1.0,True,Evidence at protein level
COL15A1,gene,-0.0269,0.9734,0.7706,1.2295,0.8211,182,77,,0.9865,50,-0.0183,-0.0501,0.0106,0.72,COL15A1,Endothelial,4,1.0436,1.0,True,Evidence at protein level
CTHRC1,gene,0.0206,1.0208,0.825,1.263,0.8498,182,77,,0.9865,50,0.0082,-0.0349,0.0644,0.62,CTHRC1,Fibroblasts,9,1.0152,1.0,True,Evidence at protein level
SPIB,gene,0.0234,1.0237,0.7825,1.3392,0.8643,182,77,,0.9865,50,0.0166,-0.0258,0.073,0.56,SPIB,B,5,0.9677,1.0,True,Evidence at protein level
IGLL5,gene,0.0196,1.0198,0.8141,1.2775,0.8644,182,77,,0.9865,50,0.0026,-0.0299,0.0526,0.52,IGLL5,Plasma,6,1.0103,1.0,True,Evidence at protein level
OLR1,gene,0.0182,1.0183,0.8041,1.2897,0.8801,182,77,,0.9865,50,0.0239,-0.0215,0.0709,0.64,OLR1,Mono/Macro,2,1.0251,1.0,True,Evidence at protein level
IGHV4-34,gene,0.0143,1.0145,0.8223,1.2516,0.8935,182,77,,0.9865,50,0.0123,-0.0268,0.0562,0.56,IGHV4-34,Plasma,1,1.042,1.0,True,Evidence at protein level
CALML3,gene,-0.0224,0.9779,0.6913,1.3832,0.8994,182,77,,0.9865,50,-0.0257,-0.0652,0.0821,0.62,CALML3,Malignant,8,1.0272,1.0,True,Evidence at protein level
FPR1,gene,-0.0132,0.9869,0.789,1.2343,0.9077,182,77,,0.9865,50,0.0013,-0.0609,0.0415,0.48,FPR1,Mono/Macro,7,1.002,1.0,True,Evidence at protein level
BGN,gene,0.01,1.01,0.8098,1.2598,0.9295,182,77,,0.9865,50,0.0015,-0.0366,0.0569,0.56,BGN,Pericytes,3,1.0508,1.0,True,Evidence at protein level
BANK1,gene,-0.0091,0.991,0.7666,1.2811,0.9449,182,77,,0.9865,50,-0.0056,-0.051,0.0216,0.54,BANK1,B,3,0.9995,1.0,True,Evidence at protein level
VMO1,gene,0.0058,1.0058,0.8412,1.2027,0.9495,182,77,,0.9865,50,0.0054,-0.0333,0.0385,0.54,VMO1,DC,9,0.9493,1.0,True,Evidence at protein level
FCGR2B,gene,0.0078,1.0078,0.7841,1.2954,0.9514,182,77,,0.9865,50,0.0203,-0.0317,0.0684,0.54,FCGR2B,Plasma,10,0.9821,1.0,True,Evidence at protein level
RAMP2,gene,0.0079,1.008,0.7798,1.3028,0.9517,182,77,,0.9865,50,0.0118,-0.047,0.0568,0.56,RAMP2,Endothelial,5,1.0411,1.0,True,Evidence at protein level
CNRIP1,gene,-0.0059,0.9941,0.8113,1.2182,0.9545,182,77,,0.9865,50,-0.0076,-0.0381,0.0252,0.54,CNRIP1,Mast,6,1.019,1.0,True,Evidence at protein level
TM4SF1,gene,0.0066,1.0066,0.7749,1.3076,0.9607,182,77,,0.9865,50,0.0103,-0.0408,0.055,0.58,TM4SF1,Endothelial,9,1.0171,0.982,True,Evidence at protein level
ESAM,gene,0.0077,1.0077,0.7334,1.3846,0.9623,182,77,,0.9865,50,0.0144,-0.0382,0.0923,0.56,ESAM,Endothelial,8,1.0218,1.0,True,Evidence at protein level
SPARCL1,gene,0.0027,1.0027,0.8072,1.2455,0.9805,182,77,,0.9865,50,0.0049,-0.0379,0.0302,0.54,SPARCL1,Pericytes,2,1.051,1.0,True,Evidence at protein level
PKMYT1,gene,-0.0029,0.9971,0.7801,1.2744,0.9813,182,77,,0.9865,50,0.0164,-0.0345,0.0472,0.46,PKMYT1,Tprolif,8,0.9318,0.986,True,Evidence at protein level
DCN,gene,0.0016,1.0016,0.8301,1.2086,0.9865,182,77,,0.9865,50,-0.0064,-0.0351,0.0407,0.44,DCN,Fibroblasts,5,1.0268,1.0,True,Evidence at protein level
CLDN4,gene,-0.0029,0.9971,0.7104,1.3994,0.9865,182,77,,0.9865,50,0.0068,-0.0565,0.0702,0.48,CLDN4,Malignant,2,1.0457,1.0,True,Evidence at protein level
