Feature,Family,Log hazard ratio per sd,Hazard ratio per sd,Ci95 low,Ci95 high,P value,N,Events,Error,Fdr bh,Valid training splits,Split log hr median,Split log hr q25,Split log hr q75,Direction consistency
pathway__REACTOME_DENGUE_VIRUS_INFECTION,pathway,0.2485,1.282,1.0131,1.6224,0.0386,182,77,,0.4536,50,0.2417,0.2043,0.3029,1.0
pathway__REACTOME_M_PHASE,pathway,0.2002,1.2216,0.9867,1.5125,0.0662,182,77,,0.4536,50,0.205,0.1572,0.2503,1.0
pathway__REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,pathway,0.2213,1.2477,0.9849,1.5807,0.0667,182,77,,0.4536,50,0.2186,0.1832,0.2794,1.0
pathway__REACTOME_RHO_GTPASE_EFFECTORS,pathway,0.2071,1.2301,0.9789,1.5458,0.0756,182,77,,0.4536,50,0.211,0.1658,0.251,1.0
pathway__REACTOME_CELL_CELL_COMMUNICATION,pathway,0.2275,1.2555,0.9506,1.658,0.1089,182,77,,0.5226,50,0.2288,0.1833,0.2656,1.0
pathway__REACTOME_DNA_REPAIR,pathway,0.0973,1.1022,0.88,1.3805,0.3971,182,77,,0.9974,50,0.1012,0.0543,0.1379,0.98
pathway__REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,pathway,-0.1139,0.8923,0.6593,1.2078,0.4607,182,77,,0.9974,50,-0.1045,-0.1755,-0.0504,0.94
pathway__REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,pathway,0.1006,1.1058,0.8351,1.4643,0.4827,182,77,,0.9974,50,0.1136,0.0714,0.1556,0.92
pathway__REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,pathway,0.1029,1.1084,0.8214,1.4956,0.5008,182,77,,0.9974,50,0.1081,0.0461,0.1745,0.86
pathway__REACTOME_RHO_GTPASE_CYCLE,pathway,-0.064,0.938,0.7536,1.1675,0.5665,182,77,,0.9974,50,-0.0638,-0.107,-0.0337,0.94
pathway__REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,pathway,0.0647,1.0668,0.8545,1.332,0.5677,182,77,,0.9974,50,0.0733,0.0284,0.1155,0.88
pathway__REACTOME_SIGNALING_BY_INTERLEUKINS,pathway,0.0626,1.0646,0.8386,1.3516,0.6072,182,77,,0.9974,50,0.0608,0.0213,0.1313,0.86
pathway__REACTOME_OLFACTORY_SIGNALING_PATHWAY,pathway,-0.07,0.9324,0.7121,1.221,0.611,182,77,,0.9974,50,-0.0887,-0.1257,-0.0459,0.8
pathway__REACTOME_NEURONAL_SYSTEM,pathway,-0.0604,0.9414,0.741,1.196,0.6212,182,77,,0.9974,50,-0.0583,-0.1132,-0.0293,0.88
pathway__REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,pathway,0.04,1.0408,0.8309,1.3038,0.7278,182,77,,0.9974,50,0.0342,0.0043,0.0879,0.8
pathway__REACTOME_SIGNALING_BY_WNT,pathway,0.043,1.0439,0.7147,1.5248,0.8241,182,77,,0.9974,50,0.0296,-0.0194,0.0855,0.58
pathway__REACTOME_SARS_COV_INFECTIONS,pathway,0.0249,1.0252,0.8215,1.2795,0.8258,182,77,,0.9974,50,0.0102,-0.021,0.0812,0.62
pathway__REACTOME_GPCR_LIGAND_BINDING,pathway,0.0203,1.0206,0.8324,1.2513,0.8449,182,77,,0.9974,50,0.0198,-0.0134,0.0663,0.6
pathway__REACTOME_TRANSLATION,pathway,0.0182,1.0183,0.8309,1.2481,0.861,182,77,,0.9974,50,0.0146,-0.017,0.056,0.66
pathway__REACTOME_NEUTROPHIL_DEGRANULATION,pathway,0.0162,1.0164,0.7884,1.3103,0.9003,182,77,,0.9974,50,0.0279,-0.0436,0.091,0.62
pathway__REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,pathway,-0.014,0.9861,0.7864,1.2364,0.9032,182,77,,0.9974,50,-0.0237,-0.0564,0.0192,0.6
pathway__REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,pathway,-0.0096,0.9905,0.7799,1.2578,0.9374,182,77,,0.9974,50,-0.0075,-0.049,0.0336,0.52
pathway__REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,pathway,-0.0059,0.9941,0.7967,1.2404,0.9582,182,77,,0.9974,50,-0.0111,-0.0415,0.0351,0.52
pathway__REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,pathway,0.0005,1.0005,0.7633,1.3113,0.9974,182,77,,0.9974,50,0.0083,-0.0254,0.0423,0.56
