Scenario,Method,Method label,Donors,Mixtures,State mae mean,State mae ci95 low,State mae ci95 high,Jensen shannon mean,Jensen shannon ci95 low,Jensen shannon ci95 high,State spearman mean,State spearman ci95 low,State spearman ci95 high
heldout_donor_clean,nu_svr,CIBERSORT-style nu-SVR,67,335,0.0504,0.0484,0.0527,0.1138,0.1071,0.1206,0.731,0.7181,0.7442
heldout_donor_clean,ordinary_nnls,Ordinary NNLS,67,335,0.0519,0.0494,0.0543,0.1195,0.1111,0.1272,0.7249,0.7113,0.7399
heldout_donor_clean,ridge_nnls,Ridge NNLS,67,335,0.0662,0.0641,0.0685,0.1739,0.1662,0.181,0.701,0.6899,0.7118
heldout_donor_clean,robust_nnls_hpa,HPA-weighted robust NNLS (ReCAST),67,335,0.0506,0.0481,0.0531,0.1149,0.1069,0.1228,0.7249,0.7094,0.7396
heldout_donor_clean,simplex_nnls,Simplex-constrained NNLS,67,335,0.0443,0.042,0.0466,0.0942,0.0871,0.101,0.6998,0.6866,0.7125
heldout_donor_clean,unbalanced_ot_hpa,HPA-weighted unbalanced OT,67,335,0.1008,0.0992,0.1024,0.3253,0.318,0.3333,0.4704,0.4442,0.4944
heldout_donor_platform_shift,nu_svr,CIBERSORT-style nu-SVR,67,335,0.0489,0.047,0.0508,0.1093,0.1034,0.115,0.7244,0.7119,0.7364
heldout_donor_platform_shift,ordinary_nnls,Ordinary NNLS,67,335,0.0516,0.0493,0.054,0.1195,0.1116,0.1271,0.7142,0.6977,0.731
heldout_donor_platform_shift,ridge_nnls,Ridge NNLS,67,335,0.0659,0.0638,0.0679,0.1735,0.1659,0.1811,0.6958,0.6853,0.7066
heldout_donor_platform_shift,robust_nnls_hpa,HPA-weighted robust NNLS (ReCAST),67,335,0.0508,0.0486,0.0532,0.1169,0.1091,0.1247,0.7149,0.6986,0.7315
heldout_donor_platform_shift,simplex_nnls,Simplex-constrained NNLS,67,335,0.0443,0.0419,0.0467,0.0952,0.0884,0.1022,0.6816,0.6672,0.696
heldout_donor_platform_shift,unbalanced_ot_hpa,HPA-weighted unbalanced OT,67,335,0.101,0.0994,0.1027,0.3265,0.3191,0.3339,0.4538,0.428,0.4785
