Scenario,Comparator,Comparator label,Donors,Mean mae improvement primary,Ci95 low,Ci95 high,Wilcoxon p,Fdr bh
heldout_donor_clean,nu_svr,CIBERSORT-style nu-SVR,67,-0.0001,-0.001,0.0007,0.793,0.793
heldout_donor_clean,ordinary_nnls,Ordinary NNLS,67,0.0013,0.0011,0.0015,0.0,0.0
heldout_donor_clean,ridge_nnls,Ridge NNLS,67,0.0156,0.0148,0.0165,0.0,0.0
heldout_donor_clean,simplex_nnls,Simplex-constrained NNLS,67,-0.0063,-0.007,-0.0055,0.0,0.0
heldout_donor_clean,unbalanced_ot_hpa,HPA-weighted unbalanced OT,67,0.0502,0.0486,0.0518,0.0,0.0
heldout_donor_platform_shift,nu_svr,CIBERSORT-style nu-SVR,67,-0.002,-0.0032,-0.0008,0.0058,0.0058
heldout_donor_platform_shift,ordinary_nnls,Ordinary NNLS,67,0.0008,0.0007,0.001,0.0,0.0
heldout_donor_platform_shift,ridge_nnls,Ridge NNLS,67,0.0151,0.0143,0.0159,0.0,0.0
heldout_donor_platform_shift,simplex_nnls,Simplex-constrained NNLS,67,-0.0066,-0.0073,-0.0058,0.0,0.0
heldout_donor_platform_shift,unbalanced_ot_hpa,HPA-weighted unbalanced OT,67,0.0502,0.0487,0.0517,0.0,0.0
