Feature,Family,Log hazard ratio per sd,Hazard ratio per sd,Ci95 low,Ci95 high,P value,Penalizer,N,Events,Error,Fdr bh,Internal log hr,Internal fdr bh,Direction concordant
PTGDS,external_gene,0.2045,1.2269,0.9117,1.6512,0.1771,0.05,60,33,,0.9507,-0.3051,0.9173,False
XCL1,external_gene,0.0145,1.0146,0.7579,1.3581,0.9226,0.05,60,33,,0.9507,0.2733,0.9173,True
VPREB3,external_gene,0.2859,1.3309,1.0299,1.7199,0.0289,0.05,60,33,,0.8702,-0.2783,0.9173,False
MMP12,external_gene,-0.1155,0.8909,0.7028,1.1295,0.34,0.05,60,33,,0.9507,0.2553,0.9173,False
C5AR1,external_gene,-0.0625,0.9394,0.713,1.2379,0.6571,0.05,60,33,,0.9507,0.1906,0.9173,False
CPVL,external_gene,-0.1156,0.8908,0.6646,1.194,0.4391,0.05,60,33,,0.9507,0.1718,0.9173,False
IDO1,external_gene,-0.2579,0.7727,0.6052,0.9865,0.0385,0.05,60,33,,0.8702,0.184,0.9173,False
MAOB,external_gene,-0.1134,0.8928,0.6899,1.1555,0.3889,0.05,60,33,,0.9507,-0.1932,0.9173,True
TREM2,external_gene,-0.011,0.9891,0.7261,1.3472,0.9444,0.05,60,33,,0.9507,0.1718,0.9173,False
MS4A7,external_gene,0.1444,1.1553,0.8573,1.5569,0.3428,0.05,60,33,,0.9507,0.1533,0.9173,True
CD5,external_gene,-0.0372,0.9635,0.7258,1.2791,0.7971,0.05,60,33,,0.9507,0.1619,0.9173,False
CALD1,external_gene,-0.038,0.9628,0.7275,1.2741,0.7906,0.05,60,33,,0.9507,0.1464,0.9173,False
TNFRSF13C,external_gene,-0.0096,0.9905,0.7316,1.341,0.9507,0.05,60,33,,0.9507,-0.1843,0.9173,True
BLNK,external_gene,-0.1174,0.8892,0.6274,1.2604,0.5095,0.05,60,33,,0.9507,-0.1534,0.9173,True
GZMA,external_gene,0.0893,1.0934,0.8664,1.3798,0.4519,0.05,60,33,,0.9507,0.1478,0.9173,True
CD96,external_gene,0.1047,1.1103,0.8702,1.4167,0.3999,0.05,60,33,,0.9507,0.1496,0.9173,True
LY6D,external_gene,-0.0782,0.9248,0.7151,1.196,0.5512,0.05,60,33,,0.9507,-0.2007,0.9173,True
TREM1,external_gene,-0.1315,0.8768,0.6706,1.1464,0.3366,0.05,60,33,,0.9507,0.1467,0.9173,False
GATA2,external_gene,0.2348,1.2647,0.9086,1.7603,0.1639,0.05,60,33,,0.9507,-0.1369,0.9173,False
CCL19,external_gene,0.0605,1.0624,0.8005,1.4101,0.6752,0.05,60,33,,0.9507,-0.1409,0.9173,False
PLA2G7,external_gene,-0.0611,0.9407,0.688,1.2863,0.7019,0.05,60,33,,0.9507,0.1261,0.9259,False
CD247,external_gene,0.0133,1.0134,0.7875,1.304,0.9176,0.05,60,33,,0.9507,0.1416,0.9259,True
PILRA,external_gene,0.0584,1.0601,0.7892,1.4241,0.6983,0.05,60,33,,0.9507,0.1136,0.9259,True
PLVAP,external_gene,0.0342,1.0348,0.756,1.4164,0.831,0.05,60,33,,0.9507,0.1707,0.9259,True
KRT15,external_gene,-0.2747,0.7598,0.5506,1.0485,0.0946,0.05,60,33,,0.8702,-0.1598,0.9541,True
ITK,external_gene,-0.0115,0.9886,0.7455,1.311,0.9365,0.05,60,33,,0.9507,0.1253,0.9541,False
HCK,external_gene,-0.1235,0.8839,0.6512,1.1995,0.4282,0.05,60,33,,0.9507,0.1153,0.9541,False
SLPI,external_gene,-0.2761,0.7587,0.5572,1.0332,0.0796,0.05,60,33,,0.8702,-0.1141,0.9541,True
CD6,external_gene,-0.1098,0.896,0.6809,1.1791,0.433,0.05,60,33,,0.9507,0.1173,0.9541,False
CD19,external_gene,0.0778,1.0809,0.8439,1.3845,0.5377,0.05,60,33,,0.9507,-0.1316,0.9541,False
MGP,external_gene,0.1834,1.2012,0.9028,1.5983,0.2082,0.05,60,33,,0.9507,-0.0972,0.9541,False
DNAAF1,external_gene,-0.019,0.9812,0.7302,1.3185,0.8998,0.05,60,33,,0.9507,0.1215,0.9541,False
RAB27B,external_gene,-0.2415,0.7854,0.5842,1.0561,0.1098,0.05,60,33,,0.8702,-0.0873,0.9541,True
S100B,external_gene,0.0996,1.1047,0.8129,1.5014,0.5245,0.05,60,33,,0.9507,0.1098,0.9541,True
KRT6B,external_gene,-0.0815,0.9217,0.701,1.2119,0.5593,0.05,60,33,,0.9507,-0.1195,0.9865,True
KIT,external_gene,-0.0485,0.9527,0.6977,1.3009,0.7604,0.05,60,33,,0.9507,-0.0956,0.9865,True
MMP19,external_gene,-0.0184,0.9817,0.7216,1.3357,0.9066,0.05,60,33,,0.9507,0.0807,0.9865,False
NTRK1,external_gene,-0.1311,0.8772,0.6312,1.2189,0.435,0.05,60,33,,0.9507,-0.0776,0.9865,True
LUM,external_gene,0.0881,1.0921,0.835,1.4283,0.52,0.05,60,33,,0.9507,0.0668,0.9865,True
COL4A2,external_gene,-0.0897,0.9142,0.6176,1.3533,0.6541,0.05,60,33,,0.9507,0.0818,0.9865,False
CD22,external_gene,-0.0104,0.9897,0.7429,1.3184,0.9434,0.05,60,33,,0.9507,-0.0732,0.9865,True
GPX2,external_gene,-0.0779,0.925,0.6571,1.3023,0.6553,0.05,60,33,,0.9507,-0.0839,0.9865,True
IL1RL1,external_gene,-0.2848,0.7522,0.5469,1.0345,0.0799,0.05,60,33,,0.8702,0.0832,0.9865,False
IGFBP5,external_gene,0.0867,1.0905,0.7948,1.4962,0.5912,0.05,60,33,,0.9507,0.0611,0.9865,True
CSF1R,external_gene,0.0198,1.02,0.7577,1.3732,0.896,0.05,60,33,,0.9507,0.0583,0.9865,True
RARRES2,external_gene,0.0121,1.0122,0.762,1.3445,0.9334,0.05,60,33,,0.9507,-0.0538,0.9865,False
GZMM,external_gene,0.3092,1.3623,1.0586,1.7532,0.0163,0.05,60,33,,0.8702,0.0615,0.9865,True
JSRP1,external_gene,0.1365,1.1463,0.8381,1.5677,0.3928,0.05,60,33,,0.9507,0.0599,0.9865,True
GNG11,external_gene,-0.017,0.9831,0.7113,1.3589,0.9179,0.05,60,33,,0.9507,-0.0477,0.9865,True
FXYD3,external_gene,-0.102,0.903,0.6352,1.2837,0.5697,0.05,60,33,,0.9507,-0.0546,0.9865,True
CTLA4,external_gene,0.0215,1.0217,0.7929,1.3164,0.8682,0.05,60,33,,0.9507,0.0507,0.9865,True
KLRD1,external_gene,0.0655,1.0677,0.7807,1.4601,0.6818,0.05,60,33,,0.9507,-0.0433,0.9865,False
CD8B,external_gene,0.0458,1.0468,0.7675,1.4278,0.7726,0.05,60,33,,0.9507,0.0442,0.9865,True
CD24,external_gene,-0.205,0.8146,0.6309,1.052,0.116,0.05,60,33,,0.8702,0.0369,0.9865,False
