Feature,Family,Log hazard ratio per sd,Hazard ratio per sd,Ci95 low,Ci95 high,P value,Penalizer,N,Events,Error,Fdr bh
pathway__REACTOME_NEUTROPHIL_DEGRANULATION,external_pathway,-0.257,0.7733,0.5531,1.0812,0.1327,0.05,60,33,,0.9334
pathway__REACTOME_SARS_COV_INFECTIONS,external_pathway,0.0648,1.067,0.7683,1.4818,0.6988,0.05,60,33,,0.9334
pathway__REACTOME_GPCR_LIGAND_BINDING,external_pathway,-0.1796,0.8356,0.6164,1.1329,0.2475,0.05,60,33,,0.9334
pathway__REACTOME_SIGNALING_BY_INTERLEUKINS,external_pathway,-0.2128,0.8083,0.6085,1.0737,0.1418,0.05,60,33,,0.9334
pathway__REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,external_pathway,-0.2036,0.8158,0.5942,1.1199,0.2079,0.05,60,33,,0.9334
pathway__REACTOME_RHO_GTPASE_CYCLE,external_pathway,-0.1358,0.873,0.6364,1.1976,0.3998,0.05,60,33,,0.9334
pathway__REACTOME_OLFACTORY_SIGNALING_PATHWAY,external_pathway,0.0803,1.0836,0.8153,1.4401,0.5801,0.05,60,33,,0.9334
pathway__REACTOME_NEURONAL_SYSTEM,external_pathway,-0.0201,0.9801,0.7282,1.3191,0.8946,0.05,60,33,,0.9334
pathway__REACTOME_M_PHASE,external_pathway,-0.0313,0.9692,0.7006,1.3408,0.85,0.05,60,33,,0.9334
pathway__REACTOME_DENGUE_VIRUS_INFECTION,external_pathway,0.1106,1.117,0.8467,1.4735,0.4337,0.05,60,33,,0.9334
pathway__REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,external_pathway,-0.2247,0.7988,0.5847,1.0913,0.1581,0.05,60,33,,0.9334
pathway__REACTOME_TRANSLATION,external_pathway,0.0324,1.033,0.7221,1.4777,0.859,0.05,60,33,,0.9334
pathway__REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,external_pathway,-0.1025,0.9026,0.6369,1.2791,0.5645,0.05,60,33,,0.9334
pathway__REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,external_pathway,-0.1102,0.8956,0.6402,1.2529,0.5198,0.05,60,33,,0.9334
pathway__REACTOME_CELL_CELL_COMMUNICATION,external_pathway,-0.0173,0.9828,0.6547,1.4755,0.9334,0.05,60,33,,0.9334
pathway__REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,external_pathway,-0.1462,0.864,0.6334,1.1786,0.3562,0.05,60,33,,0.9334
pathway__REACTOME_DNA_REPAIR,external_pathway,-0.0933,0.9109,0.6303,1.3164,0.6193,0.05,60,33,,0.9334
pathway__REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,external_pathway,0.0541,1.0556,0.7489,1.488,0.7572,0.05,60,33,,0.9334
pathway__REACTOME_RHO_GTPASE_EFFECTORS,external_pathway,-0.0551,0.9464,0.6965,1.286,0.7248,0.05,60,33,,0.9334
pathway__REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,external_pathway,0.0291,1.0295,0.7458,1.4211,0.8597,0.05,60,33,,0.9334
pathway__REACTOME_SIGNALING_BY_WNT,external_pathway,0.1283,1.1369,0.8247,1.5674,0.4335,0.05,60,33,,0.9334
pathway__REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,external_pathway,-0.0696,0.9328,0.6969,1.2486,0.6401,0.05,60,33,,0.9334
pathway__REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,external_pathway,-0.1091,0.8966,0.6374,1.2611,0.5306,0.05,60,33,,0.9334
pathway__REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,external_pathway,-0.1603,0.8519,0.6357,1.1415,0.283,0.05,60,33,,0.9334
