Cell state,Gene,Rank,Prominence score,Bootstrap selection freq.,HPA evidence
B,VPREB3,1,1.038,1.0,Evidence at protein level
B,CD19,2,1.028,1.0,Evidence at protein level
B,BANK1,3,1.0,1.0,Evidence at protein level
CD4Tconv,GZMK,1,1.014,1.0,Evidence at protein level
CD4Tconv,GZMM,2,0.986,1.0,Evidence at protein level
CD4Tconv,CD247,3,0.972,1.0,Evidence at protein level
CD8Tex,CD8B,1,1.02,1.0,Evidence at protein level
CD8Tex,GZMK,2,1.019,1.0,Evidence at protein level
CD8Tex,XCL1,3,1.009,1.0,Evidence at protein level
DC,CCL19,1,1.025,1.0,Evidence at protein level
DC,CSF2RA,2,1.024,1.0,Evidence at protein level
DC,CPVL,3,1.005,1.0,Evidence at protein level
Endothelial,SPARCL1,1,1.049,1.0,Evidence at protein level
Endothelial,MGP,2,1.046,1.0,Evidence at protein level
Endothelial,PLVAP,3,1.045,1.0,Evidence at protein level
Fibroblasts,COL1A2,1,1.04,1.0,Evidence at protein level
Fibroblasts,COL3A1,2,1.038,1.0,Evidence at protein level
Fibroblasts,LUM,3,1.037,1.0,Evidence at protein level
Malignant,KRT15,1,1.049,1.0,Evidence at protein level
Malignant,CLDN4,2,1.046,1.0,Evidence at protein level
Malignant,S100A7,3,1.044,1.0,Evidence at protein level
Mast,TPSAB1,1,1.055,1.0,Evidence at protein level
Mast,GATA2,2,1.05,1.0,Evidence at protein level
Mast,SLC18A2,3,1.049,1.0,Evidence at protein level
Mono/Macro,MMP12,1,1.037,1.0,Evidence at protein level
Mono/Macro,OLR1,2,1.025,1.0,Evidence at protein level
Mono/Macro,C5AR1,3,1.024,1.0,Evidence at protein level
Pericytes,COL1A2,1,1.051,1.0,Evidence at protein level
Pericytes,SPARCL1,2,1.051,1.0,Evidence at protein level
Pericytes,BGN,3,1.051,1.0,Evidence at protein level
Plasma,IGHV4-34,1,1.042,1.0,Evidence at protein level
Plasma,IGHV3-7,2,1.037,1.0,Evidence at protein level
Plasma,DNAAF1,3,1.032,1.0,Evidence at protein level
Tprolif,GZMA,1,1.004,1.0,Evidence at protein level
Tprolif,CD8B,2,0.982,1.0,Evidence at protein level
Tprolif,CD247,3,0.962,1.0,Evidence at protein level
Treg,CTLA4,1,0.996,1.0,Evidence at protein level
Treg,CD247,2,0.977,1.0,Evidence at protein level
Treg,ICOS,3,0.976,0.96,Evidence at protein level
