profile_id,source,patient,sample,tissue,state,n_cells
GSE160269::P1T-E::Endothelial,GSE160269,P1,P1T-E,Tumor,Endothelial,310
GSE160269::P1T-E::Fibroblasts,GSE160269,P1,P1T-E,Tumor,Fibroblasts,77
GSE160269::P1T-E::Malignant,GSE160269,P1,P1T-E,Tumor,Malignant,242
GSE160269::P1T-E::Pericytes,GSE160269,P1,P1T-E,Tumor,Pericytes,48
GSE160269::P10T-E::Endothelial,GSE160269,P10,P10T-E,Tumor,Endothelial,76
GSE160269::P10T-E::Fibroblasts,GSE160269,P10,P10T-E,Tumor,Fibroblasts,1646
GSE160269::P10T-E::Malignant,GSE160269,P10,P10T-E,Tumor,Malignant,656
GSE160269::P10T-E::Pericytes,GSE160269,P10,P10T-E,Tumor,Pericytes,91
GSE160269::P104T::Epithelial,GSE160269,P104,P104T,Tumor,Epithelial,1
GSE160269::P104T-E::Endothelial,GSE160269,P104,P104T-E,Tumor,Endothelial,27
GSE160269::P104T-E::Fibroblasts,GSE160269,P104,P104T-E,Tumor,Fibroblasts,29
GSE160269::P104T-E::Malignant,GSE160269,P104,P104T-E,Tumor,Malignant,80
GSE160269::P104T-E::Pericytes,GSE160269,P104,P104T-E,Tumor,Pericytes,3
GSE160269::P107T-E::CD8Tex,GSE160269,P107,P107T-E,Tumor,CD8Tex,1
GSE160269::P107T-E::Endothelial,GSE160269,P107,P107T-E,Tumor,Endothelial,43
GSE160269::P107T-E::Fibroblasts,GSE160269,P107,P107T-E,Tumor,Fibroblasts,184
GSE160269::P107T-E::Malignant,GSE160269,P107,P107T-E,Tumor,Malignant,423
GSE160269::P107T-E::Pericytes,GSE160269,P107,P107T-E,Tumor,Pericytes,23
GSE160269::P11T-E::Endothelial,GSE160269,P11,P11T-E,Tumor,Endothelial,147
GSE160269::P11T-E::Fibroblasts,GSE160269,P11,P11T-E,Tumor,Fibroblasts,605
GSE160269::P11T-E::Malignant,GSE160269,P11,P11T-E,Tumor,Malignant,56
GSE160269::P11T-E::Pericytes,GSE160269,P11,P11T-E,Tumor,Pericytes,154
GSE160269::P12T-E::Endothelial,GSE160269,P12,P12T-E,Tumor,Endothelial,132
GSE160269::P12T-E::Fibroblasts,GSE160269,P12,P12T-E,Tumor,Fibroblasts,247
GSE160269::P12T-E::Malignant,GSE160269,P12,P12T-E,Tumor,Malignant,810
GSE160269::P12T-E::Pericytes,GSE160269,P12,P12T-E,Tumor,Pericytes,83
GSE160269::P126N-E::Endothelial,GSE160269,P126,P126N-E,Normal,Endothelial,313
GSE160269::P126N-E::Fibroblasts,GSE160269,P126,P126N-E,Normal,Fibroblasts,2777
GSE160269::P126N-E::Malignant,GSE160269,P126,P126N-E,Normal,Malignant,21
GSE160269::P126N-E::Pericytes,GSE160269,P126,P126N-E,Normal,Pericytes,20
GSE160269::P126T-E::Endothelial,GSE160269,P126,P126T-E,Tumor,Endothelial,5
GSE160269::P126T-E::Fibroblasts,GSE160269,P126,P126T-E,Tumor,Fibroblasts,93
GSE160269::P126T-E::Malignant,GSE160269,P126,P126T-E,Tumor,Malignant,93
GSE160269::P126T-E::Pericytes,GSE160269,P126,P126T-E,Tumor,Pericytes,7
GSE160269::P127N-E::Endothelial,GSE160269,P127,P127N-E,Normal,Endothelial,276
GSE160269::P127N-E::Fibroblasts,GSE160269,P127,P127N-E,Normal,Fibroblasts,1263
GSE160269::P127N-E::Malignant,GSE160269,P127,P127N-E,Normal,Malignant,115
GSE160269::P127N-E::Pericytes,GSE160269,P127,P127N-E,Normal,Pericytes,14
GSE160269::P127T-E::Endothelial,GSE160269,P127,P127T-E,Tumor,Endothelial,112
GSE160269::P127T-E::Fibroblasts,GSE160269,P127,P127T-E,Tumor,Fibroblasts,48
GSE160269::P127T-E::Malignant,GSE160269,P127,P127T-E,Tumor,Malignant,1584
GSE160269::P127T-E::Pericytes,GSE160269,P127,P127T-E,Tumor,Pericytes,14
GSE160269::P128N-E::Endothelial,GSE160269,P128,P128N-E,Normal,Endothelial,59
GSE160269::P128N-E::Fibroblasts,GSE160269,P128,P128N-E,Normal,Fibroblasts,2785
GSE160269::P128N-E::Malignant,GSE160269,P128,P128N-E,Normal,Malignant,9
GSE160269::P128N-E::Pericytes,GSE160269,P128,P128N-E,Normal,Pericytes,21
GSE160269::P128T-E::CD8Tex,GSE160269,P128,P128T-E,Tumor,CD8Tex,3
GSE160269::P128T-E::Endothelial,GSE160269,P128,P128T-E,Tumor,Endothelial,9
GSE160269::P128T-E::Fibroblasts,GSE160269,P128,P128T-E,Tumor,Fibroblasts,249
GSE160269::P128T-E::Malignant,GSE160269,P128,P128T-E,Tumor,Malignant,450
GSE160269::P128T-E::Pericytes,GSE160269,P128,P128T-E,Tumor,Pericytes,3
GSE160269::P128T-E::Tprolif,GSE160269,P128,P128T-E,Tumor,Tprolif,1
GSE160269::P130N-E::Endothelial,GSE160269,P130,P130N-E,Normal,Endothelial,226
GSE160269::P130N-E::Fibroblasts,GSE160269,P130,P130N-E,Normal,Fibroblasts,2759
GSE160269::P130N-E::Malignant,GSE160269,P130,P130N-E,Normal,Malignant,18
GSE160269::P130N-E::Pericytes,GSE160269,P130,P130N-E,Normal,Pericytes,22
GSE160269::P130T-E::CD8Tex,GSE160269,P130,P130T-E,Tumor,CD8Tex,8
GSE160269::P130T-E::Endothelial,GSE160269,P130,P130T-E,Tumor,Endothelial,12
GSE160269::P130T-E::Fibroblasts,GSE160269,P130,P130T-E,Tumor,Fibroblasts,371
GSE160269::P130T-E::Malignant,GSE160269,P130,P130T-E,Tumor,Malignant,423
GSE160269::P130T-E::Pericytes,GSE160269,P130,P130T-E,Tumor,Pericytes,9
GSE160269::P130T-E::Tprolif,GSE160269,P130,P130T-E,Tumor,Tprolif,7
GSE160269::P15T-E::Endothelial,GSE160269,P15,P15T-E,Tumor,Endothelial,273
GSE160269::P15T-E::Fibroblasts,GSE160269,P15,P15T-E,Tumor,Fibroblasts,792
GSE160269::P15T-E::Malignant,GSE160269,P15,P15T-E,Tumor,Malignant,737
GSE160269::P15T-E::Pericytes,GSE160269,P15,P15T-E,Tumor,Pericytes,52
GSE160269::P16T-E::Endothelial,GSE160269,P16,P16T-E,Tumor,Endothelial,10
GSE160269::P16T-E::Fibroblasts,GSE160269,P16,P16T-E,Tumor,Fibroblasts,42
GSE160269::P16T-E::Malignant,GSE160269,P16,P16T-E,Tumor,Malignant,2335
GSE160269::P16T-E::Pericytes,GSE160269,P16,P16T-E,Tumor,Pericytes,5
GSE160269::P17T-E::CD4Tconv,GSE160269,P17,P17T-E,Tumor,CD4Tconv,1
GSE160269::P17T-E::Endothelial,GSE160269,P17,P17T-E,Tumor,Endothelial,149
GSE160269::P17T-E::Fibroblasts,GSE160269,P17,P17T-E,Tumor,Fibroblasts,150
GSE160269::P17T-E::Malignant,GSE160269,P17,P17T-E,Tumor,Malignant,215
GSE160269::P17T-E::Pericytes,GSE160269,P17,P17T-E,Tumor,Pericytes,48
GSE160269::P17T-E::Treg,GSE160269,P17,P17T-E,Tumor,Treg,1
GSE160269::P19T-E::Endothelial,GSE160269,P19,P19T-E,Tumor,Endothelial,115
GSE160269::P19T-E::Fibroblasts,GSE160269,P19,P19T-E,Tumor,Fibroblasts,294
GSE160269::P19T-E::Malignant,GSE160269,P19,P19T-E,Tumor,Malignant,161
GSE160269::P19T-E::Pericytes,GSE160269,P19,P19T-E,Tumor,Pericytes,104
GSE160269::P2T-E::Endothelial,GSE160269,P2,P2T-E,Tumor,Endothelial,206
GSE160269::P2T-E::Fibroblasts,GSE160269,P2,P2T-E,Tumor,Fibroblasts,225
GSE160269::P2T-E::Malignant,GSE160269,P2,P2T-E,Tumor,Malignant,1523
GSE160269::P2T-E::Pericytes,GSE160269,P2,P2T-E,Tumor,Pericytes,58
GSE160269::P20T-E::Endothelial,GSE160269,P20,P20T-E,Tumor,Endothelial,514
GSE160269::P20T-E::Fibroblasts,GSE160269,P20,P20T-E,Tumor,Fibroblasts,407
GSE160269::P20T-E::Malignant,GSE160269,P20,P20T-E,Tumor,Malignant,448
GSE160269::P20T-E::Pericytes,GSE160269,P20,P20T-E,Tumor,Pericytes,123
